direct,low,high,all
en-x,21.70,32.20,24.30
x-en,29.06,40.60,31.92
zh-x,14.30,18.97,15.50
x-zh,14.07,19.36,15.43
de-x,18.55,27.89,20.86
x-de,20.59,28.28,22.49
ar-x,16.71,23.41,18.44
x-ar,15.55,19.39,16.54
ne-x,17.27,22.61,18.65
x-ne,16.19,19.85,17.13
az-x,14.33,18.74,15.46
x-az,12.80,15.54,13.51
ceb-x,16.94,24.03,18.76
x-ceb,20.49,24.74,21.58
