direct,low,high,all
en-x,44.19,80.57,54.77
x-en,53.25,85.51,62.63
zh-x,48.58,67.65,54.34
x-zh,44.03,68.76,51.51
de-x,47.59,74.75,55.49
x-de,44.57,78.81,54.53
ar-x,38.98,51.62,42.80
x-ar,38.53,48.89,41.66
ne-x,36.07,37.43,36.48
x-ne,35.00,40.73,36.73
az-x,53.97,60.79,56.03
x-az,40.99,50.83,43.96
ceb-x,33.73,39.35,35.43
x-ceb,43.18,47.66,44.54
