direct,low,high,all
en-x,42.65,80.57,52.04
x-en,50.69,85.51,59.31
zh-x,46.53,67.65,51.96
x-zh,42.19,68.76,49.03
de-x,45.47,74.75,52.72
x-de,41.88,78.81,51.02
ar-x,38.12,51.62,41.60
x-ar,36.83,48.89,39.93
ne-x,36.18,37.43,36.51
x-ne,33.17,40.73,35.11
az-x,51.32,60.79,53.75
x-az,38.82,50.83,41.91
ceb-x,34.24,39.35,35.55
x-ceb,43.13,47.66,44.30
