direct,low,high,all
en-x,1.64,12.25,4.73
x-en,6.80,29.11,13.29
zh-x,0.41,2.14,0.93
x-zh,0.37,0.84,0.51
de-x,0.95,5.90,2.39
x-de,1.72,8.16,3.59
ar-x,0.18,1.60,0.61
x-ar,0.17,0.50,0.27
ne-x,0.36,0.54,0.42
x-ne,0.43,0.47,0.44
az-x,0.57,1.04,0.71
x-az,0.52,0.81,0.61
ceb-x,1.20,2.18,1.50
x-ceb,1.04,1.39,1.15
