direct,af,am,ar,as,ast,az,be,bg,bn,bs,ca,ceb,cs,cy,da,de,el,en,es,et,fa,ff,fi,fr,ga,gl,gu,ha,he,hi,hr,hu,hy,id,ig,is,it,ja,jv,ka,kam,kea,kk,km,kn,ko,ku,ky,lb,lg,ln,lo,lt,luo,lv,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ns,ny,oc,om,or,pa,pl,ps,pt,ro,ru,sd,sk,sl,sn,so,sr,sv,sw,ta,te,tg,th,tl,tr,uk,umb,ur,uz,vi,wo,xh,yo,zh,zhtrad,zu
en-x,4.63,0.16,1.54,0.23,4.08,0.94,0.08,13.65,0.52,4.28,18.49,2.62,8.43,1.87,19.77,17.59,2.01,/,12.66,1.94,2.56,2.12,7.12,23.13,1.58,5.83,0.60,1.96,2.10,0.88,7.25,4.26,0.57,8.82,0.77,2.24,16.35,0.61,2.62,0.88,2.61,2.19,0.63,0.65,0.58,3.24,0.19,0.33,1.57,2.79,2.35,1.61,1.25,2.67,0.83,2.47,2.37,0.22,0.23,0.47,5.37,0.36,0.26,0.70,20.51,14.12,2.36,1.91,2.76,0.68,0.43,0.38,6.65,0.81,26.26,11.99,14.25,0.37,2.94,7.86,1.57,1.28,3.65,19.05,1.68,0.37,0.99,0.43,1.10,4.20,2.28,10.96,1.42,0.17,0.96,10.91,2.39,0.29,1.24,0.98,0.61,0.69
x-en,30.89,0.33,12.41,0.77,23.68,3.99,4.19,34.29,2.17,20.29,38.19,10.72,26.60,7.33,36.04,29.69,14.05,/,22.79,5.24,11.48,2.26,20.92,31.39,5.81,31.21,0.34,2.98,4.65,11.99,23.87,20.28,1.29,28.81,2.19,7.86,22.61,17.10,4.82,1.97,2.74,8.64,2.47,1.75,0.17,15.75,0.85,1.78,7.32,2.67,2.64,1.37,4.28,2.54,2.96,2.39,27.84,0.37,1.27,2.62,20.37,6.43,0.05,2.24,27.15,34.87,2.93,3.13,22.86,0.75,0.24,0.31,21.41,1.46,41.70,33.26,29.08,0.64,24.54,23.76,2.12,2.16,36.09,40.44,3.94,0.51,0.63,1.08,3.31,18.19,12.29,35.13,1.42,3.24,1.82,25.09,2.95,2.61,2.47,13.79,13.34,1.69
zh-x,0.72,0.07,0.34,0.09,0.68,0.47,0.04,0.49,0.18,0.83,1.52,0.50,1.04,0.46,2.07,2.43,0.23,13.79,7.24,0.65,0.60,0.60,1.13,4.58,0.18,0.85,0.15,0.43,0.32,0.19,0.97,0.88,0.11,1.50,0.23,0.60,2.16,0.80,0.47,0.19,0.48,0.47,0.15,0.47,0.15,2.22,0.10,0.10,0.38,0.58,0.61,0.51,0.49,0.55,0.38,0.34,0.26,0.05,0.11,0.13,0.70,0.13,0.03,0.39,2.71,1.22,0.39,0.24,0.45,0.04,0.12,0.13,1.07,0.30,4.04,0.77,0.69,0.14,0.64,0.71,0.29,0.16,0.26,1.63,0.46,0.16,0.25,0.14,0.42,0.55,0.67,0.39,0.36,0.11,0.29,2.29,0.40,0.29,0.22,/,7.67,0.26
x-zh,0.55,0.13,0.29,0.10,0.52,0.48,0.14,0.62,0.12,0.57,0.80,0.56,0.69,0.40,0.78,0.65,0.24,0.98,1.11,0.46,0.11,0.40,0.59,0.81,0.35,0.90,0.03,0.48,0.16,0.15,0.59,0.61,0.01,0.75,0.43,0.47,0.87,1.21,0.51,0.02,0.37,0.59,0.12,0.34,0.06,1.05,0.06,0.12,0.50,0.43,0.47,0.30,0.44,0.44,0.28,0.37,0.60,0.03,0.07,0.05,0.22,0.38,0.11,0.26,0.64,0.87,0.43,0.39,0.52,0.22,0.08,0.10,0.75,0.29,1.52,0.91,1.00,0.11,0.56,0.59,0.48,0.45,1.13,1.10,0.47,0.06,0.09,0.05,0.29,0.43,0.71,2.38,0.29,0.15,0.29,0.97,0.43,0.60,0.40,/,8.38,0.60
de-x,2.30,0.10,0.60,0.16,2.34,0.85,0.02,3.13,0.29,2.77,6.62,1.01,3.52,0.86,7.30,/,0.94,29.69,4.09,1.88,1.27,1.40,3.46,9.10,0.12,3.02,0.27,1.04,0.74,0.38,3.05,2.71,0.15,1.61,0.30,1.88,7.02,0.24,1.25,0.50,1.41,1.43,0.54,0.57,0.28,3.97,0.09,0.28,3.21,1.58,1.74,0.65,1.34,1.56,0.84,1.27,0.63,0.11,0.21,0.19,2.25,0.44,0.19,0.61,10.54,5.81,0.92,0.33,1.45,0.40,0.25,0.18,3.09,0.69,12.80,5.12,5.10,0.24,2.44,3.33,0.69,0.13,0.62,6.19,0.58,0.34,0.49,0.26,0.96,1.46,2.21,5.07,1.12,0.18,0.72,4.93,1.24,0.51,0.67,0.65,0.47,0.34
x-de,4.22,0.11,1.76,0.01,4.40,1.38,1.32,7.12,0.05,4.25,9.29,2.25,7.04,1.78,12.57,/,3.29,17.59,6.13,1.84,2.25,1.30,4.31,10.07,1.44,7.11,0.05,1.66,0.84,0.77,6.13,3.91,0.06,5.32,1.45,2.68,8.84,4.95,2.36,0.18,1.40,2.54,0.73,0.34,0.02,2.90,0.23,0.46,5.78,1.50,1.81,0.36,1.38,1.53,0.99,1.25,6.58,0.00,0.21,0.22,4.80,1.47,0.08,0.35,11.39,11.64,1.44,1.46,3.92,0.76,0.07,0.06,6.68,0.78,9.12,7.81,8.56,0.22,5.01,6.11,1.17,1.50,8.96,13.14,1.92,0.00,0.10,0.48,0.03,2.71,3.05,10.67,0.93,0.47,0.79,5.32,1.57,1.02,1.40,2.43,2.53,0.88
ar-x,0.32,0.06,/,0.04,0.27,0.20,0.05,0.50,0.05,0.24,1.19,0.24,0.62,0.17,0.95,1.76,0.09,12.41,4.14,0.29,0.63,0.19,0.61,3.56,0.03,0.60,0.10,0.19,0.19,0.11,0.58,0.33,0.06,0.63,0.14,0.28,2.27,0.05,0.28,0.12,0.22,0.23,0.16,0.08,0.08,0.32,0.19,0.11,0.12,0.20,0.21,0.05,0.23,0.14,0.18,0.10,0.11,0.05,0.09,0.07,0.37,0.09,0.03,0.09,1.71,1.03,0.11,0.13,0.14,0.03,0.08,0.08,0.50,0.26,3.40,0.72,0.83,0.29,0.20,0.49,0.13,0.15,0.18,1.72,0.23,0.11,0.12,0.07,0.08,0.19,0.29,0.45,0.15,0.21,0.11,0.91,0.14,0.15,0.10,0.29,0.18,0.10
x-ar,0.27,0.05,/,0.04,0.28,0.26,0.12,0.48,0.05,0.34,0.61,0.25,0.27,0.21,0.56,0.60,0.25,1.54,0.80,0.17,0.46,0.16,0.32,0.70,0.19,0.29,0.03,0.21,0.25,0.06,0.34,0.24,0.01,0.49,0.16,0.21,0.46,0.33,0.22,0.02,0.15,0.27,0.10,0.03,0.04,0.14,0.22,0.09,0.21,0.14,0.22,0.04,0.18,0.16,0.20,0.15,0.20,0.03,0.09,0.07,0.07,0.15,0.03,0.10,0.34,0.72,0.18,0.17,0.28,0.12,0.03,0.07,0.32,0.28,0.92,0.37,0.38,0.33,0.29,0.35,0.14,0.19,0.25,0.60,0.26,0.05,0.05,0.05,0.02,0.24,0.29,0.59,0.18,0.19,0.13,0.39,0.18,0.16,0.14,0.34,0.29,0.14
ne-x,0.55,0.07,0.10,0.11,0.34,0.38,0.05,0.17,0.18,0.56,0.56,0.40,0.43,0.42,0.71,0.35,0.02,2.24,0.40,0.52,0.28,0.43,0.46,0.34,0.18,0.42,0.18,0.42,0.15,4.35,0.52,0.32,0.07,0.76,0.24,0.41,0.32,0.11,0.52,0.10,0.43,0.59,0.14,0.18,0.23,0.11,0.06,0.11,0.30,0.43,0.48,0.17,0.40,0.31,0.27,0.29,0.15,0.10,0.16,2.66,0.76,0.28,0.05,/,0.55,0.70,0.31,0.35,0.32,0.05,0.21,0.15,0.37,0.17,0.82,0.52,0.08,0.17,0.25,0.53,0.29,0.34,0.16,0.73,0.50,0.19,0.28,0.07,0.24,0.40,0.58,0.05,0.34,0.14,0.24,0.11,0.33,0.30,0.22,0.26,0.09,0.23
x-ne,0.58,0.10,0.09,0.16,0.51,0.42,0.04,0.13,0.37,0.54,0.60,0.56,0.48,0.47,0.56,0.61,0.04,0.70,0.52,0.50,0.20,0.41,0.48,0.59,0.44,0.57,0.13,0.54,0.08,4.57,0.57,0.52,0.05,0.03,0.47,0.50,0.54,0.17,0.63,0.03,0.45,0.61,0.20,0.16,0.10,0.25,0.10,0.20,0.45,0.45,0.52,0.10,0.42,0.47,0.25,0.35,0.11,0.24,0.13,3.03,0.14,0.37,0.07,/,0.41,0.60,0.43,0.42,0.49,0.26,0.07,0.21,0.41,0.33,0.58,0.63,0.15,0.24,0.55,0.52,0.32,0.42,0.22,0.55,0.56,0.27,0.11,0.10,0.03,0.52,0.65,0.14,0.30,0.40,0.32,0.61,0.42,0.39,0.35,0.39,0.22,0.32
