direct,low,high,all
en-x,4.59,9.92,6.14
x-en,0.28,5.61,1.83
zh-x,0.01,0.13,0.05
x-zh,0.00,3.16,0.96
de-x,0.25,1.76,0.69
x-de,0.00,0.13,0.04
ar-x,0.01,0.14,0.05
x-ar,0.00,0.22,0.07
ne-x,0.00,0.00,0.00
x-ne,0.00,1.10,0.33
az-x,0.00,0.00,0.00
x-az,0.00,0.02,0.00
ceb-x,0.00,0.00,0.00
x-ceb,0.00,0.00,0.00
