direct,low,high,all
en-x,4.26,9.92,5.66
x-en,0.24,5.61,1.57
zh-x,0.01,0.13,0.04
x-zh,0.00,3.16,0.81
de-x,0.20,1.76,0.59
x-de,0.00,0.13,0.03
ar-x,0.01,0.14,0.04
x-ar,0.00,0.22,0.06
ne-x,0.00,0.00,0.00
x-ne,0.00,1.10,0.28
az-x,0.00,0.00,0.00
x-az,0.00,0.02,0.00
ceb-x,0.00,0.00,0.00
x-ceb,0.00,0.00,0.00
