direct,low,high,all
en-x,3.25,14.28,6.45
x-en,4.79,17.65,8.53
zh-x,0.70,3.35,1.50
x-zh,0.46,3.04,1.24
de-x,2.10,8.74,4.03
x-de,1.81,9.92,4.17
ar-x,0.34,3.09,1.17
x-ar,0.50,5.13,1.90
ne-x,0.43,0.54,0.47
x-ne,0.38,0.41,0.39
az-x,0.40,1.14,0.62
x-az,0.36,0.73,0.47
ceb-x,0.56,1.36,0.81
x-ceb,0.76,1.59,1.01
