direct,low,high,all
en-x,76.62,86.22,79.41
x-en,80.88,86.94,82.64
zh-x,72.89,83.40,76.07
x-zh,75.42,81.54,77.27
de-x,73.17,85.09,76.64
x-de,74.42,82.14,76.66
ar-x,71.38,81.48,74.43
x-ar,75.34,81.00,77.05
ne-x,74.14,83.78,77.06
x-ne,67.12,73.16,68.95
az-x,70.36,80.53,73.44
x-az,71.83,78.74,73.92
ceb-x,68.55,75.97,70.79
x-ceb,65.50,66.76,65.88
ja-x,72.19,83.19,75.52
x-ja,76.87,83.53,78.88
