direct,low,high,all
en-x,39.20,62.79,45.04
x-en,64.30,77.87,67.66
zh-x,41.42,55.88,45.14
x-zh,40.18,49.25,42.52
de-x,38.55,52.93,42.11
x-de,47.10,56.46,49.42
ar-x,37.20,45.58,39.36
x-ar,33.14,36.95,34.12
ne-x,41.40,52.10,44.15
x-ne,32.71,35.31,33.38
az-x,41.22,48.14,43.00
x-az,36.84,38.51,37.27
ceb-x,32.88,45.22,36.06
x-ceb,38.00,37.86,37.97
