direct,low,high,all
en-x,4.37,26.48,10.80
x-en,10.59,36.89,18.24
zh-x,1.64,10.03,4.18
x-zh,2.69,9.73,4.82
de-x,2.99,19.32,7.73
x-de,5.69,20.70,10.05
ar-x,1.04,8.35,3.25
x-ar,1.30,4.97,2.41
ne-x,0.89,2.68,1.43
x-ne,0.97,1.36,1.09
az-x,0.89,2.84,1.48
x-az,0.53,1.03,0.68
ceb-x,1.66,5.67,2.87
x-ceb,1.35,2.88,1.81
ja-x,1.76,10.18,4.31
x-ja,1.89,6.61,3.31
