direct,af,am,ar,as,ast,az,be,bg,bn,bs,ca,ceb,cs,cy,da,de,el,en,es,et,fa,ff,fi,fr,ga,gl,gu,ha,he,hi,hr,hu,hy,id,ig,is,it,ja,jv,ka,kam,kea,kk,km,kn,ko,ku,ky,lb,lg,ln,lo,lt,luo,lv,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ns,ny,oc,om,or,pa,pl,ps,pt,ro,ru,sd,sk,sl,sn,so,sr,sv,sw,ta,te,tg,th,tl,tr,uk,umb,ur,uz,vi,wo,xh,yo,zh,zhtrad,zu
en-x,76.00,32.00,77.11,49.00,72.00,71.00,77.00,65.00,44.62,65.00,77.00,48.96,80.78,44.94,70.00,87.00,81.17,/,86.00,41.00,87.00,35.00,45.54,88.00,40.00,81.00,62.00,40.00,87.00,75.00,64.00,45.00,58.00,91.00,32.00,41.00,88.00,90.00,77.00,46.74,31.00,40.33,69.00,32.80,56.00,88.00,31.00,58.00,47.13,31.00,33.00,42.00,57.00,32.00,38.00,36.00,52.00,45.00,41.00,54.99,87.00,43.00,32.00,65.00,87.00,71.00,33.00,34.00,59.41,38.00,48.33,52.00,79.32,31.00,89.00,90.00,89.00,44.00,83.00,56.00,32.26,49.00,55.00,71.00,35.91,51.00,50.00,35.00,62.00,59.00,87.00,80.05,34.00,59.00,47.00,88.00,35.00,36.00,28.00,87.00,87.00,36.00
x-en,74.54,44.00,77.62,62.00,81.00,75.00,63.80,73.89,72.00,84.00,76.68,66.00,88.00,73.00,87.00,89.00,88.00,/,76.98,73.00,77.76,41.00,80.00,89.00,55.00,87.00,60.45,47.00,77.70,89.00,84.00,80.00,59.00,89.00,43.00,60.54,88.00,88.00,73.00,63.00,43.00,68.00,63.00,47.00,59.00,88.00,54.38,66.00,64.00,41.00,45.00,50.00,79.00,38.71,73.00,45.00,69.34,76.00,51.00,72.00,87.00,60.00,48.00,78.00,87.00,75.79,42.00,46.00,79.00,43.00,60.00,49.00,74.74,56.00,89.00,89.00,86.00,56.00,86.00,79.00,43.00,53.00,78.00,88.00,57.00,69.51,60.00,46.00,70.71,70.71,89.00,76.04,41.00,71.00,63.00,76.86,42.00,47.00,43.00,87.00,86.00,43.13
zh-x,72.00,34.37,83.00,43.00,64.81,56.08,67.89,73.00,45.00,63.00,75.00,48.00,78.02,47.00,68.00,84.00,77.93,87.00,84.00,41.00,84.00,36.58,47.00,84.00,48.00,78.00,55.00,38.00,83.00,68.00,63.00,45.00,62.00,87.00,35.22,41.00,86.00,80.57,74.00,58.00,34.00,38.00,66.00,48.00,49.00,87.00,32.30,60.00,45.15,34.00,34.00,42.00,59.00,33.00,40.00,38.00,54.00,43.00,42.00,56.00,72.84,43.00,41.00,59.00,85.00,69.00,34.00,34.00,64.00,39.00,43.27,34.00,87.00,30.56,86.00,86.00,87.00,32.00,75.00,56.00,33.00,49.00,58.00,69.00,36.00,48.00,43.00,36.00,53.00,56.00,83.00,87.00,35.00,39.37,40.00,87.00,36.00,38.00,30.00,/,91.00,37.00
x-zh,80.00,43.00,84.00,59.00,80.00,72.00,72.00,80.00,67.00,80.00,84.00,64.00,85.00,68.00,83.00,86.00,84.00,87.00,85.00,70.00,85.00,44.00,66.59,74.63,53.00,85.00,59.00,46.00,84.00,84.00,81.00,76.00,56.00,85.00,42.00,58.30,86.00,75.84,71.00,60.00,41.00,69.00,60.00,46.00,57.00,86.00,56.00,64.00,57.74,41.00,47.00,48.00,66.69,36.32,71.00,48.00,74.00,62.55,45.11,61.34,82.00,59.00,45.00,74.00,84.00,82.00,44.00,44.33,78.00,41.00,57.00,46.00,72.67,56.00,86.00,85.00,84.00,54.00,83.00,77.00,44.00,50.00,74.00,83.00,54.00,74.00,56.00,47.00,76.00,75.00,84.00,84.00,42.00,67.00,61.00,86.00,44.00,46.00,40.00,/,90.00,43.00
de-x,73.00,30.50,84.00,39.00,61.51,61.00,74.00,68.00,44.00,63.00,74.00,46.67,90.00,45.00,69.00,/,87.00,89.00,84.00,40.00,84.00,34.00,46.00,85.00,42.35,77.00,56.00,38.00,85.00,58.85,63.00,45.00,52.76,88.00,33.00,40.00,87.00,88.00,73.00,50.00,32.00,38.74,66.00,25.00,49.00,86.00,29.81,57.00,47.84,31.00,33.00,36.00,54.00,31.00,38.00,38.00,52.00,39.03,43.00,56.00,72.83,41.97,32.00,59.00,87.00,70.00,32.00,32.00,61.00,37.00,47.00,29.99,89.00,30.00,87.00,88.00,88.00,32.13,75.00,54.00,31.00,46.00,53.00,71.00,33.91,44.04,38.81,34.00,58.47,52.04,84.00,88.00,33.00,49.00,38.00,87.00,35.00,35.00,30.12,86.00,86.00,35.00
x-de,77.00,41.00,82.00,52.84,76.00,69.00,69.00,70.46,65.00,70.41,82.00,60.00,87.00,58.43,73.37,/,83.00,87.00,84.00,67.00,83.00,37.00,73.00,85.00,50.00,83.00,53.71,41.28,84.00,83.00,80.00,74.00,53.00,84.00,41.00,61.00,85.00,74.09,66.00,59.00,37.00,55.55,57.00,40.58,55.00,83.00,52.00,55.31,63.00,34.00,39.04,48.00,72.00,31.00,67.00,41.88,73.00,69.00,47.00,66.00,81.00,55.00,43.00,72.00,85.00,71.56,40.00,43.00,65.42,39.00,54.00,44.00,85.00,51.00,75.34,75.64,84.00,51.00,84.00,74.00,39.00,49.00,73.00,73.02,47.61,64.20,54.00,40.10,73.00,73.00,84.00,84.00,37.00,65.00,57.00,84.00,36.62,39.72,38.11,84.00,73.76,39.00
ar-x,70.00,33.00,/,38.00,70.00,61.00,75.00,70.00,40.29,62.00,74.00,47.07,87.00,53.00,66.00,82.00,86.00,77.62,83.00,40.00,84.00,36.09,46.00,84.00,50.00,78.00,53.00,37.00,84.00,66.00,62.00,44.00,60.00,86.00,34.00,42.00,74.87,86.00,71.00,56.00,34.00,35.75,68.00,27.00,44.30,84.00,32.61,59.00,45.02,31.00,34.31,39.00,58.00,32.00,38.44,39.00,54.00,42.00,44.00,54.00,82.00,42.00,33.98,57.00,83.00,68.00,34.00,34.45,63.00,39.00,45.00,31.00,77.23,32.49,75.69,86.00,86.00,26.00,69.47,49.25,32.00,48.00,51.25,69.00,35.00,45.00,38.00,37.00,51.94,56.00,82.00,87.00,35.00,46.00,39.00,86.00,35.85,36.93,30.00,84.00,84.00,37.00
x-ar,78.00,41.00,/,59.00,80.00,71.00,70.00,69.26,60.68,78.00,83.00,59.05,84.00,63.28,82.00,84.00,74.11,77.11,84.00,69.00,85.00,40.00,75.00,85.00,54.00,73.96,59.00,39.00,85.00,73.18,78.00,75.00,54.02,73.02,45.00,65.00,74.33,83.00,67.00,55.94,40.00,66.00,61.00,44.00,51.77,73.43,47.00,63.00,66.00,39.00,42.17,49.00,65.87,37.00,69.00,46.00,72.00,71.00,45.45,66.00,70.88,60.00,47.00,72.00,82.00,71.73,41.53,46.00,77.00,40.00,55.00,42.24,83.00,52.00,85.00,84.00,72.79,46.65,82.00,65.90,42.00,51.00,71.00,72.60,54.00,66.23,56.00,44.00,67.51,66.78,83.00,73.25,40.00,64.00,59.00,84.00,42.00,44.00,38.00,83.00,83.00,41.00
ne-x,59.00,34.00,72.00,45.95,64.00,41.00,49.03,52.00,52.00,52.00,58.00,48.00,74.00,43.00,58.00,72.00,75.00,78.00,66.82,41.00,70.00,45.00,44.00,73.00,38.00,64.00,57.00,41.00,62.39,56.77,48.48,43.00,42.00,75.00,39.00,42.00,74.00,77.00,63.00,39.00,29.00,41.00,49.00,29.00,52.00,74.00,37.69,44.00,43.00,42.00,40.75,38.00,47.17,41.00,38.00,46.00,43.00,45.00,39.87,58.00,71.00,42.00,37.00,/,73.00,59.00,43.00,41.00,52.00,41.00,46.00,46.50,76.00,30.00,67.86,74.00,75.00,38.00,61.00,48.00,44.00,47.00,45.00,59.00,36.00,51.00,47.00,42.00,46.00,49.00,59.48,76.00,42.00,47.44,38.00,74.00,40.00,38.00,35.00,74.00,76.00,37.00
x-ne,48.65,34.11,57.00,43.00,54.00,45.26,41.99,54.00,51.00,53.00,57.00,39.00,51.50,38.00,57.00,59.00,56.00,65.00,60.00,43.00,59.00,29.00,48.00,60.00,32.00,57.00,44.76,30.62,58.00,58.33,53.00,44.90,30.18,60.00,26.00,38.23,59.00,59.00,42.00,39.00,29.00,43.00,41.00,32.00,43.00,51.39,25.00,43.00,40.36,27.00,32.00,34.00,50.00,29.00,43.00,26.40,49.00,46.00,40.00,58.00,51.49,30.00,36.00,/,51.47,56.00,29.00,28.91,46.84,29.00,43.00,38.00,58.00,34.69,61.00,50.70,58.00,36.00,48.98,45.02,28.00,34.00,43.57,49.76,36.00,52.00,43.00,30.00,47.00,42.83,58.00,50.96,29.97,46.19,48.00,59.00,30.00,31.00,23.00,59.00,58.00,28.00
