direct,low,high,all
en-x,53.83,77.41,60.68
x-en,64.58,83.19,69.99
zh-x,51.88,76.03,59.18
x-zh,62.39,82.20,68.38
de-x,51.04,76.45,58.43
x-de,60.31,79.47,65.88
ar-x,50.99,74.37,58.06
x-ar,60.56,77.69,65.74
ne-x,48.01,65.01,53.15
x-ne,42.27,54.82,46.07
az-x,49.40,63.43,53.64
x-az,44.46,59.91,49.13
ceb-x,40.90,54.83,45.11
x-ceb,44.78,47.19,45.51
