direct,af,am,ar,as,ast,az,be,bg,bn,bs,ca,ceb,cs,cy,da,de,el,en,es,et,fa,ff,fi,fr,ga,gl,gu,ha,he,hi,hr,hu,hy,id,ig,is,it,ja,jv,ka,kam,kea,kk,km,kn,ko,ku,ky,lb,lg,ln,lo,lt,luo,lv,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ns,ny,oc,om,or,pa,pl,ps,pt,ro,ru,sd,sk,sl,sn,so,sr,sv,sw,ta,te,tg,th,tl,tr,uk,umb,ur,uz,vi,wo,xh,yo,zh,zhtrad,zu
zh-x,58.70,46.80,54.39,42.06,65.07,46.81,54.49,51.68,50.99,49.57,74.45,40.93,47.13,41.96,66.52,73.40,51.43,86.67,79.83,62.04,42.64,35.32,60.83,78.15,46.78,70.15,39.54,48.60,52.24,44.89,52.46,51.78,54.25,66.26,28.80,42.31,74.44,77.49,55.03,49.71,34.03,50.19,42.13,47.02,47.71,67.06,24.08,41.13,42.75,31.52,34.59,53.37,51.71,33.00,51.54,28.63,39.85,50.95,52.65,38.22,62.97,36.15,34.32,46.64,56.20,67.05,30.80,33.05,61.19,34.41,40.63,33.83,56.26,40.21,77.52,56.81,60.56,38.63,51.35,54.88,33.28,45.85,43.53,64.65,44.60,46.38,46.69,29.86,58.69,47.91,52.69,52.16,32.35,48.74,48.75,58.38,33.55,35.91,24.58,/,85.15,35.89
x-zh,67.50,41.84,64.23,36.09,68.33,57.51,54.32,72.33,41.81,75.84,81.05,53.22,76.61,49.13,78.26,81.84,56.82,87.32,78.69,59.99,58.03,31.31,78.67,83.25,47.09,77.33,37.74,41.00,47.43,49.73,76.70,75.26,40.51,79.85,30.94,53.65,83.22,82.77,52.72,34.87,36.36,52.22,50.96,40.92,37.59,77.81,31.88,51.99,48.70,31.64,33.53,40.84,60.00,30.90,59.68,31.82,67.23,28.30,54.54,39.67,72.90,45.23,35.29,41.29,76.94,75.53,30.95,38.42,58.46,33.69,37.06,34.20,75.70,43.69,79.55,79.26,81.79,42.65,73.13,75.68,30.72,40.52,70.60,80.96,47.80,41.35,38.36,33.43,56.63,64.88,65.64,72.23,29.45,48.13,52.96,78.98,33.03,36.05,33.56,/,88.77,33.96
