direct,low,high,all
en-x,6.35,30.98,13.51
x-en,14.07,40.13,21.65
zh-x,3.10,15.91,6.97
x-zh,6.26,17.03,9.52
de-x,5.03,24.92,10.81
x-de,9.04,25.67,13.88
ar-x,2.40,14.38,6.02
x-ar,3.08,9.13,4.91
ne-x,2.08,6.68,3.47
x-ne,1.85,3.33,2.30
az-x,1.80,5.92,3.05
x-az,0.69,1.49,0.93
ceb-x,3.03,11.24,5.51
x-ceb,1.91,4.34,2.65
