direct,af,am,ar,as,ast,az,be,bg,bn,bs,ca,ceb,cs,cy,da,de,el,en,es,et,fa,ff,fi,fr,ga,gl,gu,ha,he,hi,hr,hu,hy,id,ig,is,it,ja,jv,ka,kam,kea,kk,km,kn,ko,ku,ky,lb,lg,ln,lo,lt,luo,lv,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ns,ny,oc,om,or,pa,pl,ps,pt,ro,ru,sd,sk,sl,sn,so,sr,sv,sw,ta,te,tg,th,tl,tr,uk,umb,ur,uz,vi,wo,xh,yo,zh,zhtrad,zu
en-x,27.11,0.21,12.25,1.55,15.08,2.06,3.56,34.44,7.10,27.08,42.34,8.14,30.25,5.11,39.91,36.07,11.64,/,29.06,4.71,10.30,0.74,23.48,47.39,4.27,14.57,3.84,1.61,10.21,15.34,26.00,22.93,3.83,36.64,1.04,4.85,31.25,25.79,6.51,6.30,1.76,3.06,1.55,0.51,3.16,20.29,0.44,0.97,5.26,0.77,3.30,0.00,3.48,1.67,3.07,2.76,15.71,2.90,0.50,4.51,23.15,6.60,0.11,5.36,28.47,32.49,1.59,1.27,9.72,0.51,1.44,1.85,22.90,0.79,46.42,34.91,29.49,0.94,15.92,24.65,0.95,1.32,6.42,41.42,2.00,2.12,2.73,1.37,4.45,16.82,11.74,30.45,2.25,6.14,0.86,34.05,1.37,1.00,0.80,22.11,7.34,0.69
x-en,49.02,0.62,24.78,3.07,34.69,9.42,13.96,39.69,10.29,41.10,46.47,22.60,39.68,19.89,47.93,43.86,25.70,/,31.29,17.94,22.80,4.62,34.13,45.26,17.93,38.29,2.12,4.60,21.68,25.40,37.49,34.77,4.63,41.63,3.94,16.34,35.17,26.37,14.94,8.16,5.72,20.81,6.27,4.01,1.46,28.26,2.20,4.91,20.83,5.43,5.87,4.30,12.99,5.34,13.27,10.92,35.01,2.98,3.85,10.23,38.55,22.01,0.92,12.58,33.15,44.20,6.54,7.40,42.17,1.67,1.04,1.59,31.05,4.34,48.91,42.56,35.48,2.84,35.33,35.19,6.27,4.88,42.88,48.71,12.25,3.18,2.36,3.59,14.02,35.38,26.47,39.16,4.05,14.35,5.93,35.04,5.37,6.84,4.10,27.45,26.55,5.21
zh-x,6.43,0.12,6.39,0.95,8.10,0.90,1.39,17.59,3.50,13.04,23.02,2.74,15.20,1.61,17.43,17.45,5.76,27.45,18.07,2.15,5.59,0.46,13.57,24.90,1.82,8.70,1.63,0.77,3.65,7.49,12.54,14.78,2.11,18.89,0.47,1.71,18.61,16.17,3.54,3.69,1.56,0.88,0.59,0.37,1.30,15.86,0.12,0.40,1.60,0.69,0.72,0.00,1.71,0.53,1.19,1.38,7.66,0.83,0.26,2.02,10.05,2.07,0.05,2.95,15.92,13.41,0.85,1.01,5.28,0.19,0.71,0.94,12.93,0.43,22.04,17.29,16.72,0.19,5.46,11.10,1.10,0.72,1.16,16.46,0.98,0.85,0.92,0.45,2.36,6.93,5.76,15.55,0.57,2.65,0.51,23.13,0.73,0.56,0.32,/,19.15,0.51
x-zh,14.72,0.31,9.82,1.32,13.69,6.41,8.13,17.27,4.37,17.37,17.79,9.29,17.60,6.93,17.75,18.56,10.79,22.11,16.55,9.11,9.61,2.28,16.18,18.30,6.27,16.16,0.67,2.69,7.01,10.13,16.74,16.49,2.44,17.01,2.32,8.04,16.74,13.01,7.61,4.07,2.74,8.64,4.86,1.94,0.59,15.35,1.19,3.90,9.08,2.89,2.82,2.12,7.24,2.30,7.19,4.70,15.17,0.95,2.83,5.41,14.91,8.49,0.32,6.15,15.57,16.75,3.26,3.42,14.50,1.05,0.29,0.47,15.43,2.37,18.17,18.04,17.59,1.33,15.46,16.09,3.12,2.72,17.74,17.66,5.44,1.19,0.83,2.87,6.26,12.96,12.31,17.82,2.23,5.33,3.51,16.33,3.02,3.46,2.59,/,23.39,2.60
de-x,15.46,0.13,8.83,0.97,11.46,1.66,3.07,27.58,4.73,21.97,31.90,3.79,25.40,3.13,30.14,/,9.69,43.86,24.20,4.19,9.13,0.63,19.63,36.96,2.86,12.76,2.53,1.28,7.73,10.55,21.57,20.32,3.28,26.09,0.75,3.83,25.58,22.17,4.57,5.07,1.25,1.56,1.13,0.28,2.15,16.95,0.25,0.62,6.28,0.51,1.17,0.00,3.06,0.79,2.29,1.59,12.32,1.88,0.35,2.77,14.48,3.43,0.10,3.79,25.71,24.29,1.72,1.37,7.67,0.25,0.87,1.41,20.06,0.73,32.83,27.31,25.27,0.28,13.10,22.07,1.10,1.05,10.35,31.44,1.44,1.51,1.66,0.75,3.49,11.79,8.71,24.34,0.61,4.21,0.77,27.39,1.23,0.88,0.49,18.56,5.97,0.74
x-de,23.91,0.33,15.60,2.12,21.73,7.34,11.10,25.63,6.64,26.56,28.18,13.27,26.66,9.96,29.68,/,17.34,36.07,21.71,13.05,14.66,2.54,23.04,27.80,10.31,24.79,1.23,3.46,13.42,13.78,24.85,22.50,3.92,24.06,2.91,11.38,24.68,17.94,9.04,5.73,3.16,12.03,4.97,1.97,0.96,18.22,1.27,4.14,20.15,3.20,3.52,1.81,9.51,2.85,9.48,6.66,22.69,1.90,2.75,6.54,21.62,12.81,0.53,7.91,23.48,25.86,3.66,3.76,25.00,1.13,0.67,0.86,22.29,3.08,27.90,27.94,24.35,1.69,24.46,24.59,2.88,2.77,26.82,30.10,7.67,1.76,1.33,2.71,8.97,19.37,16.56,24.87,2.38,8.63,4.35,21.03,3.50,3.59,2.92,17.45,17.26,2.68
ar-x,4.91,0.04,/,0.56,6.42,0.50,0.92,16.99,2.01,11.99,20.28,1.63,13.96,1.47,16.45,15.60,6.06,24.78,15.48,1.21,2.38,0.28,11.38,22.16,1.32,7.02,1.09,0.34,4.70,7.13,11.98,11.69,1.27,15.86,0.18,0.95,15.54,11.65,1.94,2.32,0.78,0.40,0.27,0.07,0.61,9.38,0.27,0.20,0.99,0.19,0.54,0.00,0.98,0.27,0.85,1.04,5.90,0.83,0.14,1.03,9.41,1.89,0.02,1.60,13.33,13.56,0.37,0.36,4.23,0.12,0.41,0.49,11.55,0.53,20.26,16.24,14.65,0.36,5.88,12.39,0.22,0.27,3.57,16.73,0.53,0.75,0.56,0.44,2.05,5.84,3.65,14.60,0.22,0.94,0.37,18.73,0.30,0.21,0.15,9.82,3.58,0.17
x-ar,8.36,0.20,/,0.72,7.75,1.94,4.06,9.79,2.08,9.40,9.74,4.77,8.81,4.58,9.29,8.83,6.17,12.25,8.91,4.10,1.11,1.73,7.82,10.06,4.60,8.85,0.58,1.60,5.36,4.49,8.69,7.85,1.46,8.85,1.33,4.10,8.83,5.97,2.98,1.83,1.36,3.60,1.51,1.18,0.59,5.86,0.80,1.35,3.98,1.36,1.55,1.57,3.01,1.45,2.80,2.77,8.31,0.74,1.12,1.86,8.49,5.14,0.21,2.12,8.02,9.14,1.63,1.36,8.56,1.12,0.49,0.48,8.29,0.47,10.69,9.95,9.16,0.45,8.19,8.51,1.20,1.60,9.87,9.22,2.64,0.88,0.66,1.17,3.54,8.10,5.74,9.67,1.12,0.39,1.15,7.97,1.99,1.27,1.28,6.39,6.59,1.06
ne-x,0.76,0.24,2.12,2.74,3.72,0.66,0.61,7.57,5.84,3.71,9.97,1.45,5.20,1.00,6.82,7.91,3.43,12.58,8.07,0.95,2.03,0.69,5.51,11.88,1.06,3.65,0.72,0.81,1.77,6.37,4.91,6.92,1.41,7.59,0.37,0.81,8.12,9.49,1.88,2.23,0.64,0.93,0.81,0.33,3.49,7.37,0.61,0.61,1.41,0.81,1.34,0.00,0.69,0.82,0.42,0.83,2.84,2.40,0.34,3.77,4.12,1.35,0.10,/,7.79,5.89,0.63,0.62,2.59,0.40,1.23,1.63,5.21,0.78,9.60,7.56,6.35,0.27,2.14,4.29,0.62,0.66,5.19,7.16,0.73,2.15,2.84,0.64,1.18,3.37,2.37,6.27,0.48,3.23,0.43,10.73,0.66,0.36,0.39,6.15,2.09,0.24
x-ne,2.84,0.21,1.60,1.73,2.51,1.03,1.45,3.22,3.67,2.81,3.12,2.44,2.92,1.37,3.20,3.79,2.14,5.36,3.45,1.36,2.04,1.38,2.36,3.74,1.71,2.88,4.14,1.42,1.28,6.39,3.04,3.28,0.59,3.41,1.20,1.33,3.64,3.74,1.61,1.00,1.37,1.46,1.00,0.83,1.92,3.32,0.65,1.04,1.72,1.24,1.24,0.65,1.05,1.45,1.03,1.45,2.96,1.31,0.92,3.93,3.27,1.89,0.30,/,3.75,3.06,1.43,1.33,2.37,0.78,4.27,2.04,3.23,1.14,3.86,3.37,3.34,1.32,2.77,2.85,1.09,1.14,3.32,3.63,1.48,0.81,1.95,0.99,1.38,2.93,2.46,3.14,0.94,1.95,0.91,2.69,1.46,1.11,1.11,2.95,2.71,0.95
