direct,low,high,all
en-x,54.26,75.99,59.64
x-en,69.31,85.23,73.25
zh-x,54.12,75.80,59.70
x-zh,68.49,84.17,72.52
de-x,52.01,73.95,57.44
x-de,60.45,77.24,64.61
ar-x,52.02,72.22,57.22
x-ar,62.28,72.61,64.94
ne-x,55.02,68.99,58.62
x-ne,40.61,43.72,41.41
az-x,50.67,65.50,54.49
x-az,46.36,52.56,47.96
ceb-x,47.60,55.42,49.61
x-ceb,55.12,56.41,55.45
