direct,low,high,all
en-x,55.22,75.99,61.25
x-en,72.04,85.23,75.88
zh-x,54.73,75.80,61.10
x-zh,70.87,84.17,74.89
de-x,52.73,73.95,58.90
x-de,62.92,77.24,67.08
ar-x,52.58,72.22,58.52
x-ar,63.95,72.61,66.57
ne-x,55.49,68.99,59.57
x-ne,41.33,43.72,42.06
az-x,51.23,65.50,55.55
x-az,47.48,52.56,49.01
ceb-x,47.50,55.42,49.90
x-ceb,55.67,56.41,55.90
