direct,low,high,all
en-x,4.13,20.28,8.82
x-en,15.24,35.22,21.05
zh-x,2.05,11.34,4.86
x-zh,3.98,13.21,6.77
de-x,2.46,12.01,5.23
x-de,4.14,11.06,6.15
ar-x,0.29,5.86,1.97
x-ar,0.33,1.08,0.56
ne-x,0.54,2.11,1.01
x-ne,0.49,0.53,0.50
az-x,0.69,2.84,1.34
x-az,0.62,0.98,0.73
ceb-x,1.34,3.34,1.94
x-ceb,1.40,2.50,1.73
