direct,low,high,all
en-x,3.70,20.28,7.80
x-en,14.16,35.22,19.37
zh-x,1.97,11.34,4.38
x-zh,3.59,13.21,6.07
de-x,2.32,12.01,4.72
x-de,3.84,11.06,5.62
ar-x,0.30,5.86,1.73
x-ar,0.33,1.08,0.52
ne-x,0.50,2.11,0.92
x-ne,0.47,0.53,0.48
az-x,0.67,2.84,1.23
x-az,0.62,0.98,0.71
ceb-x,1.36,3.34,1.87
x-ceb,1.44,2.50,1.71
