direct,low,high,all
en-x,78.13,86.84,80.66
x-en,80.85,87.72,82.85
zh-x,75.67,84.50,78.34
x-zh,77.07,83.92,79.14
de-x,76.68,86.35,79.49
x-de,78.55,84.53,80.28
ar-x,75.28,83.72,77.84
x-ar,78.18,82.13,79.37
ne-x,78.58,86.27,80.91
x-ne,69.45,74.81,71.07
az-x,75.72,84.31,78.32
x-az,78.88,83.33,80.22
ceb-x,72.80,78.32,74.47
x-ceb,68.41,68.39,68.41
