direct,af,am,ar,as,ast,az,be,bg,bn,bs,ca,ceb,cs,cy,da,de,el,en,es,et,fa,ff,fi,fr,ga,gl,gu,ha,he,hi,hr,hu,hy,id,ig,is,it,ja,jv,ka,kam,kea,kk,km,kn,ko,ku,ky,lb,lg,ln,lo,lt,luo,lv,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ns,ny,oc,om,or,pa,pl,ps,pt,ro,ru,sd,sk,sl,sn,so,sr,sv,sw,ta,te,tg,th,tl,tr,uk,umb,ur,uz,vi,wo,xh,yo,zh,zhtrad,zu
en-x,84.15,37.42,78.96,69.48,71.44,75.77,78.03,86.27,81.15,85.89,85.41,61.75,86.80,74.76,87.58,85.05,84.12,/,84.62,82.12,81.92,28.67,86.55,85.70,65.01,84.88,74.17,49.50,83.86,74.42,85.74,85.57,80.86,89.05,45.78,70.18,86.25,88.86,72.59,70.54,34.54,45.22,73.25,48.08,72.48,86.25,26.40,64.48,52.34,32.68,34.98,31.40,78.99,35.46,77.69,55.55,83.07,74.16,57.60,57.80,87.27,61.33,57.39,68.94,85.28,86.80,31.80,33.64,68.99,32.78,62.50,70.82,86.05,49.10,87.70,86.92,86.81,42.92,82.88,82.64,32.11,42.25,74.11,87.63,74.88,77.92,74.76,58.17,84.45,79.15,82.89,85.96,28.76,68.06,72.51,86.09,27.83,36.57,37.19,85.91,86.36,35.84
x-en,85.95,65.33,85.30,80.05,81.39,82.90,80.42,85.43,85.89,86.50,86.65,74.43,86.43,83.49,87.91,87.17,85.89,/,84.90,85.41,85.73,43.16,88.03,87.26,77.69,85.94,84.44,69.78,85.55,87.31,85.81,86.00,86.00,88.02,59.28,79.77,85.70,86.75,77.67,82.89,46.74,67.46,82.70,79.28,83.48,86.61,69.77,78.67,74.49,49.95,51.26,67.43,82.76,42.47,83.00,59.30,84.89,84.56,75.66,83.87,87.09,75.78,78.91,85.83,85.54,86.44,49.49,52.91,82.07,46.52,82.50,84.65,84.21,78.11,87.81,87.50,84.82,77.59,85.56,84.76,51.97,60.37,85.51,88.62,80.64,82.91,84.48,68.89,86.68,83.84,87.34,84.94,39.91,83.78,81.38,85.91,47.69,57.96,52.79,85.63,85.40,57.58
zh-x,78.45,33.44,77.94,64.35,69.23,70.54,76.50,83.10,76.76,81.79,83.20,55.42,83.01,68.93,83.01,81.37,80.66,85.63,82.38,76.10,78.37,31.58,83.32,81.92,54.45,82.28,67.14,45.57,79.14,68.67,82.48,81.82,77.31,85.85,39.43,65.42,83.89,86.00,63.70,66.81,36.08,43.17,68.07,41.91,65.23,84.16,26.80,60.89,50.81,31.93,32.54,27.90,75.27,35.76,73.03,49.89,78.82,66.90,53.54,54.84,82.02,56.42,52.32,59.16,82.36,81.95,33.69,31.85,67.08,35.27,53.98,63.26,84.59,42.28,84.54,83.42,85.45,36.55,79.38,79.85,32.75,41.02,72.29,83.01,70.55,72.87,67.33,60.51,82.41,75.07,77.17,83.26,31.94,67.15,67.77,84.67,30.57,35.49,36.74,/,91.50,35.91
x-zh,78.80,59.65,81.52,75.23,79.08,79.09,79.82,81.34,80.45,81.56,82.82,70.49,82.49,75.66,81.97,83.34,81.90,85.91,83.19,80.19,82.56,40.52,82.86,83.90,71.67,82.79,78.48,65.22,80.90,81.87,82.10,81.83,81.54,82.89,57.89,74.88,83.03,84.25,72.83,79.53,46.15,66.36,78.36,75.12,78.53,83.29,65.94,75.25,71.84,48.49,49.73,62.31,79.67,41.77,79.32,58.47,80.68,78.68,71.40,77.94,80.67,69.76,74.61,79.47,82.23,80.85,42.39,52.03,78.37,40.83,77.34,78.44,81.56,73.20,83.64,82.30,82.75,70.99,81.80,80.89,50.45,57.17,81.55,83.01,75.18,77.51,78.01,67.43,83.93,77.77,81.31,82.14,39.54,78.40,76.57,83.82,45.83,54.37,51.27,/,90.26,54.75
de-x,79.87,33.81,76.10,61.87,68.28,72.06,76.40,83.80,74.37,84.67,82.01,55.47,85.71,69.05,84.78,/,81.05,87.17,82.24,78.77,76.95,31.05,84.21,82.85,58.01,81.70,65.39,44.39,80.69,67.04,84.10,83.17,76.65,85.61,39.79,66.70,84.15,85.65,65.17,66.12,35.14,46.72,66.56,42.54,63.66,82.01,24.95,59.53,54.10,31.83,34.19,28.76,76.85,35.09,73.39,47.43,80.58,66.49,51.82,52.06,82.13,57.94,51.64,57.90,84.71,83.99,31.53,32.13,64.74,34.82,52.36,62.76,85.78,44.69,84.63,84.95,85.61,38.19,81.60,81.84,31.83,40.31,75.14,85.95,69.89,72.29,66.55,58.66,80.34,74.52,77.59,83.95,29.50,64.83,68.34,83.94,28.85,35.92,36.14,83.34,83.53,36.05
x-de,77.16,57.80,79.17,72.89,75.75,76.74,77.70,81.10,78.20,81.87,80.61,67.65,83.46,73.41,82.88,/,80.42,85.05,80.20,80.56,79.91,37.11,82.28,82.55,69.25,80.18,77.32,62.07,80.56,79.75,81.87,81.51,79.89,80.80,54.23,74.19,81.40,81.46,70.28,77.59,41.43,60.16,75.80,73.08,76.35,80.66,63.56,72.55,73.07,45.94,44.88,60.61,77.53,35.87,78.17,54.93,79.55,77.29,69.53,76.02,79.27,68.21,73.03,78.47,82.16,81.01,45.64,46.78,75.41,39.73,74.16,76.46,81.79,71.12,81.57,82.51,81.09,69.92,83.10,81.51,45.85,54.84,80.76,83.96,72.46,76.19,76.99,64.02,81.08,76.14,80.29,81.04,33.75,76.90,74.86,81.29,42.72,49.72,49.22,81.37,80.64,49.65
ar-x,76.33,32.39,/,60.65,68.15,68.22,73.80,81.75,73.29,80.74,81.04,55.51,82.15,70.68,81.55,79.17,81.13,85.30,80.49,73.41,75.89,31.90,81.06,80.79,59.73,79.59,63.11,43.07,78.84,65.52,79.99,80.09,74.12,83.22,39.86,64.86,81.47,83.54,64.52,65.15,36.33,42.22,65.17,41.02,64.20,81.20,27.91,57.20,51.93,34.49,34.77,27.40,74.14,36.65,70.26,53.57,76.44,64.53,50.08,49.58,79.96,59.37,48.09,55.51,80.15,80.52,34.28,33.37,66.38,36.40,50.70,58.46,81.94,46.08,82.63,82.32,83.34,38.91,77.45,76.95,33.18,42.12,70.37,82.39,69.80,71.60,65.63,62.17,79.63,73.62,76.01,81.75,31.01,64.02,64.35,82.42,31.53,36.08,37.69,81.52,81.20,36.08
x-ar,69.61,56.15,/,67.54,70.65,71.23,72.66,75.36,75.03,73.44,75.62,64.25,75.00,70.78,73.93,76.10,77.02,78.96,74.02,70.92,75.68,35.97,73.86,77.34,65.98,73.53,74.21,58.82,77.30,76.61,72.49,73.72,76.08,75.42,51.77,67.86,75.66,78.44,62.55,74.50,38.42,54.40,71.94,71.28,73.32,77.20,56.22,68.10,66.35,40.84,40.85,58.18,68.51,35.88,71.15,53.46,72.25,74.01,65.99,71.06,73.68,63.84,67.68,73.42,73.19,72.45,43.67,43.51,72.37,37.31,70.77,72.44,72.49,61.29,72.92,75.35,76.60,57.42,73.72,71.61,41.33,48.73,72.68,74.28,69.38,73.59,73.85,62.85,76.62,70.39,74.59,76.11,36.22,66.97,69.22,77.49,39.29,45.16,44.91,77.94,76.78,45.81
ne-x,74.23,35.47,73.42,56.59,71.88,61.42,66.93,77.55,66.59,77.11,81.24,55.85,78.42,67.19,78.70,78.47,78.11,85.83,80.43,66.95,70.86,45.27,77.27,79.43,56.52,78.61,61.87,43.87,75.22,65.66,77.62,77.88,71.12,82.08,40.95,60.75,81.19,80.67,51.01,59.32,43.86,45.89,65.14,41.57,55.30,77.95,34.44,54.14,53.12,41.27,46.26,29.57,67.07,47.27,63.66,50.80,73.58,61.20,48.60,59.48,77.42,58.76,53.43,/,79.36,79.02,41.23,43.77,68.48,44.73,51.91,57.29,81.20,41.69,82.21,79.90,80.12,42.77,72.94,73.57,43.11,44.32,70.31,79.91,64.03,70.34,58.62,57.50,77.04,74.02,71.62,76.69,38.74,60.99,48.18,81.18,44.27,39.51,41.23,79.47,78.91,38.84
x-ne,45.95,40.45,55.51,49.16,44.93,50.31,46.45,49.96,55.04,49.21,51.78,41.07,51.80,46.50,52.63,57.90,53.90,68.94,55.48,49.42,55.06,24.46,52.09,61.48,43.00,50.49,52.92,38.03,51.58,68.67,49.92,52.14,52.48,52.08,31.25,43.28,55.61,58.07,40.87,50.20,25.74,31.44,48.18,49.91,52.72,58.78,40.02,45.50,41.74,24.05,27.72,41.65,46.64,23.11,47.14,32.80,45.70,54.09,44.09,62.19,52.07,39.46,50.14,/,53.58,50.49,26.49,26.26,45.31,27.70,53.22,56.11,50.53,43.14,55.73,54.60,53.48,47.77,49.88,46.92,24.95,35.70,48.23,53.60,44.76,55.27,50.86,41.38,57.82,48.57,52.61,52.47,21.95,57.81,47.81,54.28,26.62,30.54,27.33,59.16,55.58,29.25
