direct,low,high,all
en-x,42.83,60.33,47.16
x-en,36.65,47.00,39.21
zh-x,32.68,37.13,33.82
x-zh,34.82,42.88,36.89
de-x,35.14,44.35,37.42
x-de,31.38,35.03,32.28
ar-x,31.78,34.69,32.53
x-ar,31.95,33.26,32.29
ne-x,33.71,35.13,34.07
x-ne,29.05,31.95,29.79
az-x,31.95,33.00,32.22
x-az,33.28,33.67,33.38
ceb-x,32.42,33.53,32.71
x-ceb,37.48,36.60,37.25
