direct,low,high,all
en-x,44.48,60.33,49.09
x-en,36.61,47.00,39.63
zh-x,33.00,37.13,34.25
x-zh,34.59,42.88,37.09
de-x,36.08,44.35,38.49
x-de,31.17,35.03,32.29
ar-x,32.05,34.69,32.85
x-ar,31.71,33.26,32.18
ne-x,33.91,35.13,34.28
x-ne,28.80,31.95,29.75
az-x,32.11,33.00,32.38
x-az,33.05,33.67,33.24
ceb-x,32.58,33.53,32.87
x-ceb,37.24,36.60,37.04
