direct,low,high,all
en-x,42.96,82.81,52.83
x-en,59.50,85.18,65.85
zh-x,43.76,72.99,51.29
x-zh,50.57,73.74,56.53
de-x,42.57,78.51,51.47
x-de,50.15,76.86,56.76
ar-x,40.62,64.47,46.76
x-ar,39.85,56.35,44.10
ne-x,44.31,53.18,46.59
x-ne,33.95,37.90,34.96
az-x,45.20,58.53,48.63
x-az,39.06,45.31,40.67
ceb-x,37.44,51.36,41.02
x-ceb,44.62,48.77,45.69
ja-x,43.43,75.25,51.62
x-ja,46.58,67.16,51.88
