direct,af,am,ar,as,ast,az,be,bg,bn,bs,ca,ceb,cs,cy,da,de,el,en,es,et,fa,ff,fi,fr,ga,gl,gu,ha,he,hi,hr,hu,hy,id,ig,is,it,ja,jv,ka,kam,kea,kk,km,kn,ko,ku,ky,lb,lg,ln,lo,lt,luo,lv,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ns,ny,oc,om,or,pa,pl,ps,pt,ro,ru,sd,sk,sl,sn,so,sr,sv,sw,ta,te,tg,th,tl,tr,uk,umb,ur,uz,vi,wo,xh,yo,zh,zhtrad,zu
en-x,74.88,31.08,62.42,31.66,69.68,42.83,45.06,84.45,36.68,82.23,83.95,53.45,84.42,40.36,85.79,83.07,57.09,/,83.52,49.07,50.46,29.34,84.12,84.44,37.41,78.00,37.84,34.34,45.20,52.21,82.69,80.58,32.58,86.93,30.16,40.39,84.36,86.38,70.65,32.09,30.61,50.21,36.03,27.03,30.85,82.39,29.77,40.33,44.01,28.85,33.12,26.50,41.44,28.23,37.69,36.87,71.23,31.68,28.15,37.81,83.11,46.94,28.28,39.89,83.34,85.81,29.77,28.78,67.05,30.05,30.31,28.96,83.03,29.67,86.45,84.33,84.44,32.78,72.50,79.99,29.85,31.82,74.03,86.32,38.20,31.23,31.49,38.09,45.94,65.71,59.08,84.51,32.58,39.50,33.71,82.62,27.89,31.43,26.31,82.11,81.36,31.42
x-en,82.33,46.45,75.17,55.00,76.33,64.89,66.82,85.18,62.80,85.38,86.25,64.76,85.74,59.49,87.60,87.18,76.85,/,84.68,66.99,75.11,43.67,87.18,87.23,59.30,83.81,49.18,48.52,66.71,78.58,84.76,84.81,52.18,87.10,44.58,63.50,85.34,85.68,63.48,59.50,45.96,62.38,58.12,51.82,47.55,84.99,45.60,55.65,60.28,45.55,46.34,48.52,61.65,43.44,63.01,49.12,80.64,51.37,50.67,63.11,84.29,59.31,48.01,70.17,85.21,86.82,45.11,47.22,75.97,44.48,47.77,49.41,83.41,54.39,87.74,86.98,84.04,52.43,82.40,84.19,45.75,48.86,84.86,88.55,56.55,51.86,49.25,45.92,70.30,78.21,78.45,84.54,42.30,65.51,57.31,84.44,45.30,48.51,44.12,84.37,83.76,47.36
zh-x,66.07,38.13,55.10,36.72,61.27,42.72,39.82,64.66,40.53,69.89,79.00,46.53,69.62,51.03,74.91,73.24,53.04,84.37,79.99,56.13,50.76,37.85,72.00,78.55,47.17,70.32,39.34,38.94,46.57,44.66,70.87,70.64,40.80,79.44,31.35,45.97,78.11,72.42,62.41,41.00,35.96,46.03,36.39,39.29,39.54,74.92,23.93,35.44,38.80,33.63,35.65,34.79,51.77,36.41,49.64,33.64,53.87,45.85,37.51,37.77,75.58,40.80,32.93,38.17,73.95,73.35,32.89,32.90,62.21,33.02,34.71,32.24,72.39,35.57,79.58,65.15,74.88,35.99,60.69,64.99,33.41,37.52,54.17,74.67,43.98,45.79,40.56,27.95,45.94,57.09,55.01,72.36,33.52,43.14,38.47,79.07,33.75,35.93,27.62,/,89.78,35.47
x-zh,67.50,38.72,64.79,44.51,64.66,56.40,60.57,72.84,53.22,72.62,71.44,54.62,72.57,50.15,74.03,77.12,64.50,82.11,73.82,58.76,65.29,37.68,76.65,76.64,50.46,70.73,39.22,38.10,56.85,65.31,73.15,71.23,44.45,75.44,35.78,54.78,75.48,78.15,53.18,52.07,39.72,55.93,48.58,42.77,38.10,76.89,40.37,47.15,53.25,38.27,38.10,41.22,56.40,37.21,55.80,43.94,69.75,42.13,43.30,52.71,73.79,52.29,46.86,58.82,74.01,75.05,38.00,39.93,63.34,35.32,38.96,38.33,74.12,44.74,73.83,74.36,77.04,42.67,69.38,73.37,37.42,39.61,73.25,76.37,48.24,42.72,39.47,39.34,61.04,61.09,66.48,74.07,36.77,55.42,48.80,73.77,40.50,40.82,35.80,/,89.27,38.16
de-x,70.83,29.85,56.86,35.21,63.68,38.02,42.23,77.43,36.15,77.08,79.29,46.34,77.90,44.76,82.13,/,53.73,87.18,80.03,50.05,47.70,35.32,76.83,80.66,40.62,72.41,36.49,35.39,43.34,45.47,78.25,76.60,31.01,80.82,29.84,45.12,80.89,71.19,64.62,35.91,32.73,47.00,39.65,34.85,40.87,70.25,23.53,40.69,47.44,32.06,32.57,33.99,46.03,34.06,43.73,31.83,66.69,42.12,31.81,34.43,76.42,42.48,27.17,36.09,82.54,80.07,31.39,30.41,62.07,29.42,32.63,28.31,79.47,28.92,81.64,77.60,81.07,35.17,65.92,74.91,31.18,34.19,61.30,82.12,39.42,42.28,38.28,34.02,45.56,59.21,54.50,81.72,30.68,42.02,36.81,79.61,30.61,33.67,25.51,77.12,77.35,33.58
x-de,68.86,39.40,65.06,44.30,66.67,56.97,58.91,77.35,52.47,77.00,76.59,55.39,79.84,50.78,79.43,/,67.01,83.07,74.75,60.15,64.53,32.55,78.45,79.63,50.81,73.99,37.53,41.17,57.99,66.29,76.80,75.86,44.10,76.33,34.99,55.43,78.08,76.00,55.23,50.35,36.83,51.83,47.99,43.99,37.64,74.44,38.97,47.23,51.34,35.39,36.68,42.89,56.82,29.86,57.58,39.84,70.73,40.12,42.53,51.50,73.34,51.20,39.60,57.93,80.13,77.75,34.36,37.85,65.67,34.36,35.96,37.04,77.67,45.24,77.38,78.33,77.35,43.03,76.08,77.52,35.00,40.95,76.48,81.18,49.30,42.85,39.24,38.58,60.22,66.35,66.15,76.59,32.54,55.39,50.92,73.44,36.38,39.00,35.43,73.24,74.80,36.93
ar-x,58.01,33.50,/,35.47,52.80,33.65,39.17,58.65,35.57,58.60,67.80,42.40,59.99,36.65,66.92,65.06,48.94,75.17,68.90,43.77,67.16,39.53,63.29,67.73,38.09,62.52,36.94,36.08,44.12,40.29,63.12,62.59,36.00,68.28,33.40,36.51,68.37,57.41,44.58,31.18,35.55,40.79,37.78,30.32,37.79,59.64,29.27,33.71,36.37,34.02,36.47,29.48,40.27,37.70,39.14,36.07,49.22,39.53,33.97,33.25,64.71,42.36,29.53,33.97,66.58,67.00,36.06,35.92,52.69,37.92,29.15,35.47,63.86,51.86,69.86,60.17,66.25,51.40,50.94,58.11,36.44,36.11,49.08,67.73,34.85,41.58,35.85,29.45,41.39,49.25,44.70,67.55,35.95,55.32,34.08,68.61,38.57,32.97,29.13,64.79,64.35,32.74
x-ar,50.47,35.12,/,32.68,51.12,39.34,44.83,57.11,39.34,55.18,56.86,42.59,55.71,38.25,57.30,56.86,52.29,62.42,58.93,40.97,69.78,32.18,56.03,60.20,40.42,54.19,33.52,31.41,45.88,48.46,54.67,52.90,36.90,58.79,31.04,42.00,58.11,54.76,34.36,40.13,30.78,37.99,35.48,36.28,31.34,53.03,29.72,34.49,38.85,30.50,31.69,35.13,40.12,31.12,40.26,34.13,51.58,35.73,33.21,38.55,55.41,39.24,39.67,41.63,55.21,56.26,31.47,31.43,50.07,32.63,31.16,33.02,55.40,54.37,59.59,57.51,57.64,53.70,52.71,53.68,29.95,32.90,52.89,56.20,33.88,36.63,32.58,32.50,46.62,49.87,47.56,57.33,29.97,57.67,34.18,56.83,31.47,29.77,30.26,55.10,55.60,29.51
ne-x,48.51,37.07,41.63,52.39,42.77,36.72,39.19,54.24,59.49,38.17,57.64,44.92,45.21,35.33,53.75,57.93,43.87,70.17,61.83,37.82,37.71,47.66,51.75,61.31,38.66,49.77,61.69,38.98,38.63,67.65,44.30,50.63,47.63,52.82,41.90,34.04,59.30,52.53,38.99,36.88,33.10,44.49,42.77,35.39,57.72,57.32,37.17,37.91,39.80,37.62,46.56,31.10,34.68,48.65,34.39,44.17,41.92,55.75,33.99,62.88,44.03,45.13,37.67,/,58.71,55.39,47.69,49.48,44.17,41.14,59.44,53.85,53.15,37.52,60.39,45.98,62.44,48.94,38.87,42.07,48.05,39.24,37.12,56.07,38.29,53.14,56.98,35.72,41.53,41.28,37.15,56.09,45.82,51.16,36.39,56.98,48.12,38.47,38.30,58.82,58.02,38.18
x-ne,36.33,37.41,33.97,40.46,33.93,40.43,32.34,38.77,40.07,39.73,39.27,30.79,38.75,28.77,37.80,36.09,32.94,39.89,37.10,34.15,35.06,27.06,39.52,36.47,29.43,38.01,41.77,29.38,29.29,69.27,39.90,40.54,30.06,40.12,24.09,31.89,34.71,38.66,33.63,36.19,26.95,29.65,32.86,39.74,33.37,42.03,29.04,31.25,26.85,27.72,27.36,39.41,33.02,27.41,34.57,22.60,35.88,35.37,32.19,62.81,40.74,27.30,47.50,/,36.76,37.48,25.66,27.30,33.11,28.23,45.50,39.35,36.27,32.27,36.86,37.39,37.83,29.81,39.99,37.82,25.59,33.08,37.52,38.06,34.57,29.17,34.83,28.93,33.81,37.06,39.87,38.76,26.07,40.61,34.33,41.92,25.37,26.30,22.64,38.17,37.27,26.20
az-x,55.09,42.12,39.34,42.53,53.35,/,40.63,53.83,41.75,62.28,58.18,46.57,57.53,53.47,58.44,56.97,43.78,64.89,59.76,66.96,39.43,36.68,62.12,57.48,49.06,58.21,43.87,53.32,34.59,37.26,58.74,59.70,41.16,62.67,27.59,53.67,59.45,56.51,57.32,52.76,33.99,47.06,51.78,37.85,46.23,56.02,27.04,57.80,39.79,33.73,34.75,43.94,64.12,33.36,61.88,30.11,47.95,49.58,54.01,37.40,59.83,39.82,34.65,40.43,57.46,59.07,29.98,33.88,50.02,43.86,42.83,39.94,60.88,39.06,61.01,57.45,58.13,42.12,56.81,58.42,33.26,52.65,49.68,58.52,55.50,48.77,48.21,33.47,39.21,53.93,76.76,54.34,32.67,40.82,70.10,59.64,34.46,40.87,23.85,56.40,55.57,39.65
x-az,44.09,30.35,33.65,30.46,38.78,/,55.98,46.53,32.28,55.67,45.26,35.06,47.96,48.64,44.20,38.02,34.03,42.83,40.17,58.41,38.13,26.73,47.92,40.38,42.78,46.06,30.98,40.64,30.81,40.13,53.50,50.71,35.79,53.55,22.71,48.83,40.05,42.33,47.08,48.44,26.13,34.16,68.56,36.95,31.41,40.76,30.23,64.09,25.09,26.60,26.35,33.53,60.31,24.64,61.70,22.42,51.79,32.49,65.14,30.75,52.31,29.75,46.02,36.72,41.66,43.22,24.49,27.37,38.34,35.75,30.31,29.98,44.37,43.93,44.79,43.69,40.75,38.20,54.01,52.22,26.03,41.17,54.31,44.00,47.02,31.92,31.80,29.92,38.99,47.51,76.95,43.27,25.07,35.99,61.35,50.60,25.48,32.72,23.91,42.72,42.36,33.39
