direct,low,high,all
en-x,1.49,22.18,6.61
x-en,6.65,37.30,14.24
zh-x,0.85,6.04,2.19
x-zh,1.04,7.77,2.77
de-x,1.37,15.42,4.85
x-de,3.63,22.06,8.19
ar-x,0.35,4.18,1.34
x-ar,0.25,0.52,0.32
ne-x,0.67,1.56,0.90
x-ne,0.50,0.59,0.53
az-x,0.63,1.35,0.81
x-az,0.65,0.65,0.65
ceb-x,1.30,2.76,1.68
x-ceb,1.31,2.01,1.49
