direct,low,high,all
en-x,1.57,22.18,7.56
x-en,7.26,37.30,15.99
zh-x,0.82,6.04,2.40
x-zh,1.08,7.77,3.10
de-x,1.35,15.42,5.44
x-de,4.00,22.06,9.25
ar-x,0.36,4.18,1.52
x-ar,0.26,0.52,0.34
ne-x,0.69,1.56,0.96
x-ne,0.53,0.59,0.55
az-x,0.64,1.35,0.85
x-az,0.66,0.65,0.66
ceb-x,1.27,2.76,1.72
x-ceb,1.27,2.01,1.50
