direct,low,high,all
en-x,5.65,21.62,9.61
x-en,14.40,33.15,19.04
zh-x,4.28,14.24,6.84
x-zh,10.70,21.67,13.52
de-x,4.50,17.38,7.69
x-de,8.52,19.88,11.33
ar-x,3.61,14.23,6.35
x-ar,6.85,13.28,8.50
ne-x,3.19,7.88,4.40
x-ne,2.02,2.99,2.27
az-x,2.60,7.35,3.83
x-az,1.38,2.50,1.66
ceb-x,2.69,6.85,3.76
x-ceb,2.64,4.03,3.00
