direct,low,high,all
en-x,6.49,21.62,10.89
x-en,16.11,33.15,21.06
zh-x,4.64,14.24,7.54
x-zh,11.78,21.67,14.77
de-x,5.17,17.38,8.72
x-de,9.54,19.88,12.54
ar-x,4.19,14.23,7.23
x-ar,7.48,13.28,9.24
ne-x,3.64,7.88,4.92
x-ne,2.19,2.99,2.43
az-x,2.97,7.35,4.30
x-az,1.49,2.50,1.79
ceb-x,2.97,6.85,4.14
x-ceb,2.76,4.03,3.14
