direct,low,high,all
en-x,39.27,66.28,47.13
x-en,46.43,69.56,53.15
zh-x,50.46,64.62,54.74
x-zh,38.99,55.92,44.11
de-x,43.68,67.44,50.59
x-de,40.13,61.11,46.23
ar-x,43.83,57.90,48.08
x-ar,39.28,54.42,43.86
ne-x,38.84,39.71,39.10
x-ne,34.93,35.44,35.08
az-x,37.44,45.28,39.81
x-az,39.88,47.33,42.13
ceb-x,27.86,34.15,29.76
x-ceb,38.88,42.71,40.04
