direct,low,high,all
en-x,38.22,66.28,45.16
x-en,44.87,69.56,50.98
zh-x,48.18,64.62,52.41
x-zh,37.98,55.92,42.60
de-x,41.46,67.44,47.89
x-de,38.31,61.11,43.95
ar-x,41.63,57.90,45.82
x-ar,38.06,54.42,42.27
ne-x,37.41,39.71,38.00
x-ne,33.09,35.44,33.69
az-x,36.35,45.28,38.65
x-az,37.78,47.33,40.24
ceb-x,28.21,34.15,29.74
x-ceb,38.10,42.71,39.29
