direct,af,am,ar,as,ast,az,be,bg,bn,bs,ca,ceb,cs,cy,da,de,el,en,es,et,fa,ff,fi,fr,ga,gl,gu,ha,he,hi,hr,hu,hy,id,ig,is,it,ja,jv,ka,kam,kea,kk,km,kn,ko,ku,ky,lb,lg,ln,lo,lt,luo,lv,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ns,ny,oc,om,or,pa,pl,ps,pt,ro,ru,sd,sk,sl,sn,so,sr,sv,sw,ta,te,tg,th,tl,tr,uk,umb,ur,uz,vi,wo,xh,yo,zh,zhtrad,zu
en-x,3.49,0.10,0.42,0.39,8.93,1.37,0.13,0.56,1.67,8.34,16.02,4.95,5.53,2.93,11.42,12.86,0.22,/,17.89,4.10,0.72,2.38,5.42,25.62,4.03,12.05,0.32,0.18,1.38,0.93,7.73,5.36,1.31,20.52,1.65,1.07,16.51,1.27,3.51,1.79,1.10,0.29,0.67,1.12,0.37,2.30,0.19,0.48,2.06,2.15,2.69,0.96,1.58,0.33,5.19,1.88,0.30,0.63,0.21,0.28,16.59,4.90,0.39,0.52,15.55,0.41,2.23,2.28,7.53,0.64,0.30,0.50,7.03,0.77,22.27,6.14,0.78,0.36,4.28,5.65,1.83,1.16,0.40,5.54,7.59,0.84,1.15,0.34,0.76,14.26,4.09,0.19,1.55,0.20,1.07,1.95,1.58,0.14,0.71,1.32,0.41,1.43
x-en,2.25,3.67,36.01,10.79,13.77,8.29,8.35,38.29,20.14,38.05,43.43,28.90,38.38,44.17,47.75,42.75,6.16,/,29.61,32.24,15.57,2.04,31.98,14.57,28.79,36.57,11.66,9.26,38.21,12.82,36.65,32.90,1.64,42.35,10.69,28.01,13.54,24.69,16.79,6.90,3.45,20.97,23.73,8.41,24.29,27.21,8.37,13.42,36.66,4.06,4.18,7.04,10.57,1.78,3.40,5.40,38.32,23.47,11.31,17.69,40.87,31.03,6.58,23.69,31.74,42.50,4.86,4.85,46.07,1.10,19.20,13.70,28.85,17.24,27.51,8.86,12.92,16.60,35.56,31.82,3.99,4.46,39.26,45.60,33.75,9.60,10.59,4.05,18.20,38.75,19.71,36.80,1.95,18.14,10.66,14.00,2.27,6.63,6.00,11.92,10.24,5.89
zh-x,5.26,1.04,0.99,2.08,0.91,1.19,3.85,4.09,9.25,2.05,10.04,1.99,1.80,1.29,1.35,9.33,1.64,11.92,5.61,1.65,2.63,0.43,1.77,16.28,3.17,4.70,0.92,1.10,8.70,0.61,4.74,4.80,15.04,14.14,0.34,3.42,13.12,3.29,0.15,11.28,0.33,0.32,0.66,3.39,7.03,0.68,0.08,1.22,2.39,0.54,0.23,0.58,2.18,0.97,3.17,1.50,0.51,7.80,0.52,1.58,8.92,5.67,1.53,1.35,12.00,3.39,0.37,0.45,0.72,0.14,1.48,5.20,7.96,0.48,1.24,4.69,4.89,0.85,6.59,1.60,0.44,0.09,0.09,7.77,3.57,6.57,10.82,0.67,0.42,9.82,1.46,2.36,0.16,1.22,2.36,3.36,0.15,0.33,0.17,/,8.37,0.33
x-zh,1.26,0.24,1.60,0.85,1.80,0.93,3.80,3.48,0.79,2.51,1.46,1.04,0.67,1.15,1.09,1.38,6.51,1.32,1.27,1.75,2.03,0.62,1.01,2.63,1.25,2.12,0.66,0.27,2.08,5.57,1.48,1.90,0.48,1.34,0.10,0.22,0.62,2.39,0.81,0.31,0.68,0.11,0.45,1.21,2.55,1.79,0.64,0.99,0.46,0.61,0.69,0.32,1.13,0.03,0.59,0.34,1.63,0.59,0.63,1.95,1.62,1.67,0.27,2.00,1.16,0.99,0.77,0.61,3.78,0.27,1.34,2.71,0.10,1.88,1.12,0.28,0.86,0.74,3.28,1.41,0.68,0.50,3.47,1.71,0.77,0.71,0.67,0.95,0.57,0.89,1.59,3.01,0.34,0.85,0.60,2.26,0.65,0.54,0.48,/,9.56,0.54
de-x,14.09,0.69,1.16,1.11,14.03,1.08,0.26,0.84,0.91,0.39,14.39,3.49,0.30,2.82,3.36,/,1.80,42.75,18.85,2.03,0.75,1.81,3.64,7.28,1.12,2.79,0.98,1.74,7.85,2.81,2.92,2.74,9.05,20.57,1.01,2.76,12.40,1.59,2.16,4.50,1.20,1.41,0.46,1.52,1.25,2.54,0.09,0.40,10.43,1.47,1.45,0.79,1.81,2.02,0.31,1.18,0.95,2.61,0.10,0.51,7.51,2.75,1.03,0.70,4.10,2.31,1.38,0.79,3.24,0.41,0.40,0.36,4.20,0.07,6.63,0.22,5.09,0.28,0.43,4.99,1.17,1.05,0.04,4.89,2.44,1.50,4.14,0.17,0.14,4.05,6.65,1.20,0.87,0.41,0.33,2.46,0.33,0.97,0.49,1.38,0.75,0.85
x-de,6.22,2.77,5.08,9.56,6.23,6.06,3.52,22.77,11.96,0.70,0.88,11.77,7.06,15.20,7.33,/,13.11,12.86,16.38,1.22,17.58,0.45,15.31,5.97,3.91,11.79,1.95,2.67,5.75,6.22,5.22,5.50,0.52,8.51,3.96,14.37,16.57,12.20,1.91,4.06,2.17,3.80,2.27,6.07,7.46,4.40,9.04,8.18,9.81,2.88,3.33,1.85,0.35,1.77,2.29,6.25,2.95,9.68,4.89,0.57,3.24,7.25,0.25,0.84,18.77,19.94,2.83,3.09,4.54,0.91,0.46,1.54,0.55,10.55,13.42,9.78,8.01,0.71,3.12,19.49,2.64,3.31,16.39,16.40,9.10,9.27,4.30,0.79,1.45,12.35,13.00,8.48,1.41,3.25,6.91,4.95,2.18,1.19,1.63,9.33,12.37,2.93
ar-x,0.83,0.84,/,0.20,2.45,0.64,1.47,0.90,2.94,4.24,3.90,3.40,1.85,4.35,2.30,5.08,1.84,36.01,2.49,2.19,0.53,0.09,5.48,8.88,0.83,1.95,0.36,0.92,12.33,1.29,1.39,3.26,14.81,1.82,0.37,3.09,3.27,1.17,0.59,10.21,0.15,0.37,0.10,2.95,0.51,4.38,0.35,0.76,0.81,0.20,0.01,0.15,0.28,0.43,3.20,0.88,0.47,6.03,0.03,0.31,3.76,6.37,2.02,0.31,2.43,0.75,0.06,0.19,1.89,0.01,0.09,0.46,2.31,0.12,4.25,0.56,0.82,0.49,1.90,4.62,0.43,0.11,0.05,4.28,3.88,0.50,7.04,0.58,0.92,4.83,0.82,0.88,0.03,0.26,1.22,3.46,0.00,0.03,0.13,1.60,0.52,0.38
x-ar,0.35,0.29,/,0.65,0.31,1.89,0.06,1.21,0.23,0.59,0.13,0.28,0.28,0.48,0.61,1.16,0.26,0.42,0.46,0.86,1.09,0.17,0.54,2.03,0.13,0.12,0.12,0.30,0.18,0.17,0.06,0.63,0.40,0.72,0.01,0.99,0.29,0.98,0.25,0.02,0.26,0.61,0.04,0.11,0.15,0.95,0.69,0.04,1.58,0.17,0.39,0.00,0.19,0.16,0.06,0.31,1.65,0.24,0.22,0.49,0.70,0.27,0.03,0.12,0.26,0.42,0.20,0.20,1.39,0.14,0.02,0.12,0.23,1.01,0.45,0.32,0.45,0.46,1.16,0.10,0.17,0.22,0.85,1.00,0.23,0.97,0.09,0.24,0.50,0.20,0.52,4.61,0.15,1.35,0.15,0.16,0.28,0.19,0.02,0.99,0.34,0.13
ne-x,8.53,0.97,0.12,2.76,4.51,1.15,0.86,0.85,12.32,1.93,1.71,1.19,5.12,3.73,1.17,0.84,0.68,23.69,13.33,4.84,1.23,0.14,7.19,9.80,0.70,0.41,0.33,0.30,1.04,5.76,0.57,8.33,11.73,4.97,0.06,1.97,8.10,1.67,0.10,7.36,0.66,0.18,0.31,2.64,1.37,0.55,0.04,0.28,1.54,0.47,0.06,0.56,1.30,0.42,1.95,0.46,0.68,6.92,0.21,3.56,3.05,0.72,2.61,/,2.01,1.98,0.05,0.15,1.09,0.10,2.04,1.09,1.63,0.23,18.10,4.67,0.36,0.21,3.98,1.32,0.11,0.02,0.06,11.17,0.25,4.77,3.06,0.21,0.30,0.92,7.53,0.37,0.07,0.87,1.14,0.93,0.03,0.04,0.14,2.00,1.53,0.06
x-ne,0.61,0.29,0.31,0.86,0.59,0.15,0.54,0.49,0.12,0.16,0.75,0.55,0.34,0.63,0.61,0.70,0.83,0.52,0.43,0.51,0.53,0.47,0.50,1.24,0.27,0.58,0.17,0.59,0.11,1.46,0.20,0.60,0.04,0.53,0.50,0.43,0.38,0.47,0.59,0.09,0.48,0.48,0.04,0.39,0.72,0.41,0.01,0.08,0.72,0.53,0.60,0.43,0.21,0.55,0.47,0.38,0.42,0.93,0.28,3.42,0.55,0.55,0.22,/,0.68,0.54,0.45,0.46,0.90,0.24,0.51,0.77,0.22,0.15,0.93,0.13,0.56,0.04,0.57,0.54,0.33,0.56,0.95,0.70,0.37,0.45,0.16,0.58,0.36,0.48,0.61,0.87,0.37,0.49,0.34,0.54,0.42,0.41,0.15,1.35,1.40,0.36
