direct,low,high,all
en-x,1.91,10.12,4.30
x-en,17.87,31.13,21.73
zh-x,2.59,6.34,3.73
x-zh,1.36,1.48,1.40
de-x,1.86,7.95,3.63
x-de,5.61,10.08,6.91
ar-x,1.91,4.05,2.56
x-ar,0.45,0.69,0.52
ne-x,1.97,5.33,2.98
x-ne,0.52,0.56,0.53
az-x,1.58,3.04,2.02
x-az,0.79,0.93,0.83
ceb-x,1.28,6.00,2.70
x-ceb,1.22,2.08,1.48
