direct,low,high,all
en-x,6.34,25.90,11.18
x-en,14.39,39.37,20.57
zh-x,4.14,16.04,7.20
x-zh,8.12,20.09,11.20
de-x,5.24,21.66,9.30
x-de,9.88,26.92,14.10
ar-x,4.19,18.98,8.00
x-ar,8.13,22.55,11.84
ne-x,2.22,7.18,3.50
x-ne,2.10,4.40,2.69
az-x,2.13,6.56,3.27
x-az,0.94,1.92,1.19
ceb-x,2.81,8.42,4.25
x-ceb,1.90,3.42,2.29
