direct,low,high,all
en-x,47.82,85.57,57.16
x-en,62.94,86.31,68.72
zh-x,44.63,80.77,53.93
x-zh,58.51,81.64,64.46
de-x,45.24,83.47,54.70
x-de,56.86,81.08,62.86
ar-x,42.43,74.66,50.73
x-ar,46.52,68.14,52.08
ne-x,46.19,66.68,51.47
x-ne,36.42,45.98,38.88
az-x,45.50,65.63,50.68
x-az,39.04,47.36,41.18
ceb-x,42.36,63.74,47.86
x-ceb,46.91,52.97,48.47
