direct,low,high,all
en-x,74.34,88.26,77.79
x-en,81.19,88.72,83.05
zh-x,70.14,85.38,74.07
x-zh,76.23,85.02,78.49
de-x,70.58,87.36,74.73
x-de,74.75,85.84,77.50
ar-x,70.84,85.18,74.53
x-ar,75.55,84.45,77.84
ne-x,71.57,76.13,72.74
x-ne,62.58,60.07,61.94
az-x,58.67,68.85,61.29
x-az,73.22,81.71,75.41
ceb-x,62.87,68.98,64.44
x-ceb,51.69,50.29,51.33
