direct,low,high,all
en-x,77.48,88.26,80.62
x-en,83.43,88.72,84.97
zh-x,72.98,85.38,76.73
x-zh,78.32,85.02,80.35
de-x,73.77,87.36,77.72
x-de,77.09,85.84,79.64
ar-x,73.61,85.18,77.11
x-ar,77.58,84.45,79.66
ne-x,73.53,76.13,74.32
x-ne,63.96,60.07,62.78
az-x,60.67,68.85,63.15
x-az,75.43,81.71,77.33
ceb-x,65.27,68.98,66.39
x-ceb,51.84,50.29,51.37
