direct,af,am,ar,as,ast,az,be,bg,bn,bs,ca,ceb,cs,cy,da,de,el,en,es,et,fa,ff,fi,fr,ga,gl,gu,ha,he,hi,hr,hu,hy,id,ig,is,it,ja,jv,ka,kam,kea,kk,km,kn,ko,ku,ky,lb,lg,ln,lo,lt,luo,lv,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ns,ny,oc,om,or,pa,pl,ps,pt,ro,ru,sd,sk,sl,sn,so,sr,sv,sw,ta,te,tg,th,tl,tr,uk,umb,ur,uz,vi,wo,xh,yo,zh,zhtrad,zu
en-x,84.88,76.20,82.11,76.43,70.73,79.63,82.66,88.11,82.44,86.62,85.68,67.29,87.35,82.73,87.82,84.41,85.80,/,84.67,86.72,83.70,35.24,87.61,85.63,75.86,85.57,81.84,74.46,85.18,76.02,86.43,85.79,83.58,88.49,66.38,80.49,86.07,88.95,79.34,77.84,43.76,49.38,85.50,75.96,78.55,85.92,31.01,82.17,53.62,42.70,47.09,68.40,85.35,40.04,84.74,61.39,86.86,80.16,82.35,68.95,86.80,67.12,77.39,77.90,85.02,86.96,42.66,59.65,69.88,44.18,68.66,77.51,86.11,74.25,87.44,87.16,87.15,68.05,85.97,85.33,57.50,74.62,75.51,87.78,80.05,82.48,79.28,74.15,84.30,81.36,83.93,87.03,40.86,75.34,73.76,85.59,46.13,69.40,52.13,85.61,84.72,70.19
x-en,88.04,82.76,85.98,83.02,82.75,85.34,81.95,86.67,87.36,87.52,87.17,79.93,87.02,87.10,88.62,87.64,86.52,/,85.33,87.54,86.63,47.31,88.55,87.55,83.95,86.80,88.41,78.42,87.05,88.17,86.52,86.80,87.26,88.35,69.10,84.75,86.08,87.15,82.60,85.38,47.89,69.50,86.17,85.45,86.10,87.23,75.49,84.11,79.10,57.78,60.25,83.18,84.99,42.25,85.77,68.90,86.45,87.23,84.01,86.73,87.89,81.40,84.71,88.67,85.95,87.71,57.87,69.94,84.08,56.72,85.99,87.08,84.58,83.04,88.27,87.96,85.23,83.13,86.57,86.29,70.34,76.58,86.18,88.76,84.29,85.41,87.08,76.33,87.34,85.85,87.97,85.68,44.18,85.86,85.38,86.38,55.57,75.48,59.88,85.94,85.51,76.75
zh-x,81.26,71.40,81.23,72.81,69.86,77.65,84.52,86.04,78.73,85.67,84.10,64.91,86.39,79.21,85.18,82.28,84.58,85.94,83.34,84.28,82.39,36.89,85.72,82.78,72.72,83.90,77.19,71.21,82.37,71.23,85.65,83.09,80.69,86.21,63.41,78.04,84.77,87.96,78.20,75.81,40.64,50.67,81.60,72.40,74.00,85.76,31.38,80.63,53.07,41.80,40.30,65.61,84.89,37.52,83.73,60.11,85.27,75.39,80.25,63.82,83.41,63.14,73.57,71.74,83.62,84.27,40.41,57.43,68.82,42.00,62.98,71.95,86.03,70.68,85.15,84.90,86.49,63.13,84.69,84.65,54.10,70.22,77.44,85.26,77.77,79.85,74.70,72.40,83.55,78.92,81.03,86.34,40.71,73.46,47.44,85.73,44.60,66.53,52.52,/,91.40,67.63
x-zh,82.76,76.54,82.66,78.87,81.17,82.34,82.57,83.73,82.81,83.86,84.51,76.35,84.09,81.45,84.55,84.27,83.39,85.61,84.19,83.89,83.87,45.44,84.76,84.74,79.69,84.52,82.54,75.44,82.93,83.37,83.87,83.49,83.59,84.25,67.35,81.84,84.34,86.01,78.20,82.47,47.51,67.97,82.97,81.89,81.25,85.14,72.31,81.68,77.52,57.94,60.71,78.67,82.88,41.50,83.33,67.87,83.56,81.74,81.14,82.15,83.06,76.82,81.03,83.61,83.36,83.63,55.83,69.29,81.31,55.02,81.06,82.28,83.23,79.14,84.71,84.03,83.26,77.79,83.65,83.53,69.68,73.65,83.23,84.71,79.95,80.81,81.59,74.84,85.12,81.39,83.13,83.24,43.54,81.89,82.43,84.90,54.57,72.17,60.03,/,90.27,73.56
de-x,82.82,71.38,80.83,71.07,68.46,78.03,83.35,87.37,77.81,86.83,83.60,64.53,88.35,79.35,86.50,/,84.77,87.64,82.83,85.41,81.76,34.97,86.51,83.51,71.99,83.48,77.21,72.08,83.49,71.17,86.96,84.52,80.73,86.19,63.55,80.24,84.47,86.88,78.05,75.79,41.39,49.57,82.38,71.95,74.18,83.86,29.60,79.19,55.31,43.00,44.07,64.68,84.78,39.02,83.07,58.97,85.95,75.56,78.39,62.98,83.55,63.74,72.45,71.16,85.09,85.87,39.92,57.04,66.76,42.90,61.86,72.10,87.02,71.44,85.48,86.27,86.69,62.90,87.21,85.83,54.75,72.62,79.72,86.54,77.63,79.60,74.95,72.26,82.43,79.18,81.60,86.83,39.50,73.41,69.72,84.75,45.01,66.05,51.83,84.27,82.88,66.89
x-de,81.26,75.02,80.74,76.83,78.23,80.54,80.48,83.02,80.75,84.24,82.61,74.26,84.77,80.01,84.47,/,82.05,84.41,81.10,83.66,81.48,39.36,84.06,83.28,77.71,82.47,81.58,72.48,82.54,81.80,83.64,83.28,82.05,82.74,64.08,81.01,82.23,82.48,76.72,81.28,40.68,62.44,80.78,79.82,80.21,82.36,70.17,79.16,77.88,52.44,55.26,76.96,81.32,32.32,82.47,64.57,82.16,80.86,78.46,80.34,81.59,75.49,78.42,82.82,83.15,82.76,52.39,64.67,79.15,50.86,78.80,80.79,82.82,77.41,83.14,83.91,82.07,76.99,84.89,83.93,66.09,71.35,82.42,84.38,77.76,79.70,80.49,72.14,82.37,80.08,82.50,82.38,33.74,80.00,80.72,82.31,49.87,69.30,55.70,82.28,81.68,70.38
ar-x,79.95,70.97,/,69.53,69.33,75.39,82.11,85.20,76.39,84.45,82.73,66.05,85.00,80.10,84.22,80.74,84.09,85.98,81.63,81.86,81.21,36.94,83.49,81.99,72.62,81.88,75.30,71.14,83.27,68.51,84.18,81.55,80.10,84.25,64.55,76.98,83.11,84.66,75.78,75.06,40.51,50.61,80.26,71.18,73.49,82.96,29.51,78.39,53.90,43.77,43.92,63.47,83.31,37.87,82.24,60.80,83.44,75.03,77.13,60.40,81.66,65.20,70.52,70.00,81.45,83.07,41.29,58.25,68.19,42.98,59.77,69.74,84.23,69.21,83.89,84.29,85.10,62.71,83.86,82.57,55.83,70.57,73.34,83.90,77.62,79.65,74.10,73.26,80.93,78.19,79.52,85.29,40.18,72.45,65.16,83.59,45.38,66.43,52.63,82.66,80.97,67.11
x-ar,78.72,75.83,/,75.86,78.74,79.39,78.73,81.09,80.16,80.32,81.92,74.70,80.81,79.86,81.53,80.83,81.57,82.11,81.14,80.06,82.11,41.77,81.11,81.75,77.23,81.48,81.02,74.30,82.59,80.36,80.15,80.16,81.14,80.83,67.00,78.54,80.97,81.12,75.34,80.38,45.65,65.65,80.48,79.82,79.73,81.39,72.67,78.93,75.45,57.50,59.85,76.26,79.14,37.99,79.82,66.15,80.39,80.32,78.21,79.34,79.88,75.26,76.83,81.16,79.46,80.43,57.55,67.90,79.78,55.22,77.49,79.73,79.48,77.13,81.94,81.28,80.40,75.40,81.02,79.90,68.18,72.99,79.83,81.83,77.98,79.69,79.90,72.85,81.67,78.87,80.98,81.02,41.63,79.75,79.38,81.59,53.20,70.79,59.29,81.23,80.99,71.71
ne-x,83.52,73.11,81.16,75.21,74.98,77.39,82.87,86.27,80.67,86.34,84.90,70.46,86.47,81.76,85.94,82.82,84.07,88.67,83.98,83.88,81.88,42.90,85.34,83.99,74.57,84.00,80.51,74.96,82.77,74.23,86.04,83.06,80.96,86.78,67.07,79.10,84.88,85.57,78.82,76.59,46.72,57.38,81.59,72.89,78.48,84.07,32.33,79.73,59.47,45.34,46.97,67.75,84.75,45.34,84.32,64.76,85.14,78.94,80.26,67.92,84.85,69.11,74.18,/,83.75,85.04,43.18,63.54,73.36,47.49,67.46,75.92,85.87,71.27,86.02,85.46,85.52,67.68,84.53,84.33,58.98,73.46,77.98,86.11,80.59,83.36,79.34,76.14,81.80,81.88,81.08,85.74,42.04,76.09,57.25,85.99,48.55,68.03,57.80,83.61,82.03,69.09
x-ne,69.96,62.08,70.00,67.42,70.29,68.12,66.05,71.36,73.41,71.22,72.03,67.16,70.59,68.45,72.43,71.16,68.80,77.90,72.07,70.61,71.88,32.67,71.84,72.79,66.94,71.28,73.74,63.57,71.03,76.74,70.49,69.83,69.39,73.76,55.73,67.72,71.01,71.40,66.32,68.11,33.59,51.85,69.86,66.96,71.67,71.60,59.20,66.98,66.62,43.54,46.62,62.54,69.74,29.53,69.80,58.15,70.12,70.44,67.26,73.53,73.15,66.83,63.18,/,70.62,71.14,46.11,58.38,71.58,38.34,70.93,72.20,69.48,65.55,74.29,71.65,70.20,68.48,70.83,70.85,58.47,61.04,69.40,72.08,69.99,70.33,71.44,63.09,70.10,71.43,71.03,69.37,30.15,72.63,68.88,72.14,41.33,58.82,44.59,71.74,71.16,58.76
