direct,low,high,all
en-x,27.00,41.66,31.26
x-en,37.39,46.30,39.98
zh-x,16.84,25.54,19.47
x-zh,19.81,26.11,21.71
de-x,21.04,34.83,25.05
x-de,25.36,35.91,28.43
ar-x,20.36,31.40,23.70
x-ar,21.34,28.44,23.48
ne-x,18.01,20.18,18.67
x-ne,15.49,11.78,14.37
az-x,9.20,14.17,10.70
x-az,13.68,16.94,14.66
ceb-x,15.27,19.02,16.40
x-ceb,4.21,4.53,4.30
