direct,low,high,all
en-x,25.08,41.66,29.19
x-en,35.46,46.30,38.14
zh-x,15.70,25.54,18.23
x-zh,18.53,26.11,20.48
de-x,19.31,34.83,23.15
x-de,23.80,35.91,26.79
ar-x,18.94,31.40,22.14
x-ar,20.10,28.44,22.25
ne-x,16.89,20.18,17.74
x-ne,14.68,11.78,13.93
az-x,8.45,14.17,9.92
x-az,12.78,16.94,13.85
ceb-x,14.00,19.02,15.29
x-ceb,4.13,4.53,4.24
