direct,af,am,ar,as,ast,az,be,bg,bn,bs,ca,ceb,cs,cy,da,de,el,en,es,et,fa,ff,fi,fr,ga,gl,gu,ha,he,hi,hr,hu,hy,id,ig,is,it,ja,jv,ka,kam,kea,kk,km,kn,ko,ku,ky,lb,lg,ln,lo,lt,luo,lv,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ns,ny,oc,om,or,pa,pl,ps,pt,ro,ru,sd,sk,sl,sn,so,sr,sv,sw,ta,te,tg,th,tl,tr,uk,umb,ur,uz,vi,wo,xh,yo,zh,zhtrad,zu
en-x,55.00,33.00,42.00,30.00,54.00,43.00,28.00,62.00,39.00,48.00,66.00,40.00,53.00,44.00,72.00,67.00,47.00,/,69.00,47.00,45.00,32.00,57.00,69.00,40.00,62.00,38.00,40.00,43.00,39.00,54.00,49.00,38.00,64.00,26.00,47.00,71.00,51.00,46.00,36.00,30.00,42.00,35.00,34.00,37.00,56.00,16.00,31.00,36.00,27.00,31.00,36.00,45.00,30.00,46.00,26.00,42.00,40.00,35.00,33.00,60.00,33.00,32.00,35.00,75.00,72.00,27.00,30.00,50.00,30.00,32.00,31.00,54.00,32.00,77.00,63.00,63.00,35.00,48.00,54.00,29.00,36.00,46.00,73.00,44.00,42.00,38.00,19.00,45.00,49.00,50.00,56.00,29.00,39.00,41.00,56.00,30.00,33.00,21.00,52.00,52.00,32.00
x-en,74.00,38.00,60.00,41.00,69.00,55.00,47.00,82.00,47.00,74.00,84.00,49.00,79.00,50.00,83.00,80.00,63.00,/,80.00,57.00,62.00,32.00,76.00,83.00,48.00,79.00,40.00,44.00,48.00,65.00,79.00,75.00,42.00,80.00,30.00,54.00,80.00,77.00,54.00,45.00,33.00,46.00,46.00,41.00,38.00,73.00,35.00,44.00,44.00,31.00,33.00,37.00,54.00,30.00,58.00,30.00,75.00,40.00,44.00,48.00,74.00,43.00,38.00,49.00,82.00,83.00,31.00,35.00,65.00,34.00,34.00,36.00,75.00,42.00,86.00,83.00,78.00,42.00,76.00,76.00,31.00,42.00,81.00,85.00,49.00,40.00,40.00,39.00,50.00,64.00,66.00,83.00,30.00,48.00,50.00,77.00,33.00,38.00,33.00,70.00,69.00,36.00
zh-x,54.00,39.00,46.00,38.00,48.00,45.00,32.00,48.00,42.00,53.00,54.00,40.00,49.00,42.00,58.00,52.00,43.00,70.00,62.00,50.00,47.00,34.00,54.00,56.00,38.00,54.00,42.00,41.00,49.00,44.00,52.00,49.00,44.00,58.00,28.00,45.00,58.00,69.00,44.00,42.00,33.00,43.00,37.00,44.00,42.00,56.00,23.00,37.00,37.00,31.00,33.00,45.00,50.00,32.00,51.00,27.00,44.00,46.00,42.00,39.00,59.00,34.00,36.00,39.00,54.00,59.00,29.00,33.00,44.00,34.00,37.00,37.00,50.00,40.00,60.00,58.00,44.00,39.00,52.00,55.00,32.00,38.00,45.00,57.00,47.00,48.00,44.00,24.00,52.00,47.00,54.00,45.00,31.00,46.00,43.00,51.00,32.00,35.00,24.00,/,80.00,34.00
x-zh,51.00,39.00,37.00,37.00,40.00,51.00,40.00,47.00,41.00,63.00,56.00,32.00,62.00,45.00,59.00,59.00,43.00,52.00,56.00,56.00,38.00,24.00,56.00,58.00,40.00,56.00,36.00,39.00,37.00,38.00,62.00,56.00,35.00,65.00,25.00,46.00,59.00,69.00,50.00,36.00,25.00,31.00,41.00,39.00,37.00,58.00,33.00,38.00,22.00,24.00,25.00,38.00,59.00,23.00,60.00,23.00,43.00,40.00,44.00,35.00,41.00,27.00,40.00,37.00,58.00,57.00,23.00,25.00,37.00,29.00,34.00,34.00,61.00,36.00,59.00,61.00,47.00,35.00,62.00,59.00,25.00,37.00,46.00,59.00,50.00,37.00,37.00,31.00,48.00,51.00,57.00,52.00,24.00,37.00,53.00,63.00,24.00,32.00,26.00,/,82.00,31.00
de-x,58.48,37.27,44.53,35.22,50.09,45.38,29.29,55.46,43.61,52.92,57.37,36.54,62.58,41.38,68.06,/,50.18,80.00,48.72,57.86,46.39,33.41,62.83,61.27,36.14,54.87,42.23,39.31,45.76,43.16,58.22,56.82,43.52,40.84,26.87,52.28,64.15,57.31,42.62,47.43,31.99,42.31,38.74,39.28,42.58,58.19,20.16,34.87,44.77,29.60,32.42,36.76,53.72,31.21,59.06,25.84,40.70,43.19,39.43,38.04,44.74,30.96,35.45,36.65,66.81,69.15,28.84,31.62,45.50,33.55,38.18,34.72,61.77,39.05,66.80,60.65,54.13,39.71,59.51,62.27,30.96,36.25,40.42,70.70,43.46,48.45,41.93,21.54,49.39,41.40,56.69,49.67,30.47,43.43,45.14,49.76,31.60,34.88,22.45,59.00,56.97,33.79
x-de,58.71,32.71,42.19,31.46,43.43,48.18,42.86,57.94,33.19,61.04,61.87,30.74,64.26,43.94,67.61,/,47.78,67.00,59.17,56.92,43.47,22.00,58.30,63.73,40.81,58.05,32.72,36.15,41.79,39.19,62.52,59.21,32.55,58.62,21.84,48.98,63.28,59.47,44.63,34.32,22.57,29.61,39.42,31.66,31.62,52.76,28.04,37.38,29.68,21.19,22.57,30.97,56.30,19.44,58.35,19.31,54.68,31.93,39.39,33.12,55.44,25.65,32.95,36.07,70.51,65.14,20.32,22.33,39.73,28.06,30.36,31.30,61.12,34.55,63.28,64.98,60.51,33.30,64.53,61.73,21.98,35.23,57.74,67.66,44.44,32.28,32.84,28.52,35.03,46.37,54.68,63.03,20.55,35.64,49.95,54.40,21.92,29.48,23.86,52.00,51.78,29.41
ar-x,44.79,41.00,/,33.92,45.75,44.66,31.18,34.80,35.90,47.72,49.42,39.68,35.55,39.18,46.41,42.19,36.89,60.00,48.70,43.38,62.86,33.29,41.15,47.08,34.51,49.19,40.65,46.42,38.83,40.40,42.43,39.19,44.88,45.43,26.13,40.53,47.59,44.25,45.26,37.52,31.89,41.29,40.32,37.42,40.79,38.45,26.62,37.17,34.18,30.47,31.85,29.42,42.41,30.54,42.65,27.27,36.23,43.84,34.74,34.74,46.98,33.21,35.73,30.23,42.37,47.70,28.53,31.38,42.08,32.04,36.08,36.41,39.20,49.97,49.78,46.97,34.65,48.14,35.18,40.92,30.48,42.45,35.28,47.67,51.29,41.27,37.19,23.93,35.42,42.24,46.58,37.43,30.74,51.10,44.39,39.07,30.32,35.20,22.83,37.00,37.98,34.35
x-ar,43.41,39.56,/,35.00,35.40,44.64,36.91,41.39,38.39,53.68,48.52,29.83,53.18,45.89,49.68,44.53,39.72,42.00,43.88,48.47,61.44,22.86,47.41,47.46,40.02,46.68,35.20,40.52,46.65,33.60,53.22,46.50,32.67,52.66,21.96,44.20,49.63,43.62,45.24,35.38,24.45,27.99,36.53,35.57,35.89,39.80,29.96,34.17,21.33,23.87,24.00,32.84,54.25,21.61,57.44,21.27,36.61,36.09,36.46,33.06,34.33,25.55,36.64,36.37,45.10,46.34,22.17,24.78,31.99,30.33,32.02,32.65,49.70,47.64,46.49,51.56,40.34,45.81,54.45,50.30,23.58,38.32,37.65,45.54,49.64,37.25,36.47,29.61,37.58,46.36,48.65,42.02,23.18,49.88,49.05,47.01,22.00,31.77,23.40,46.00,46.14,32.06
ne-x,39.79,40.98,36.37,43.55,41.00,40.85,29.97,33.60,49.02,39.33,39.81,38.89,35.68,37.94,40.90,36.07,35.78,49.00,39.49,42.19,41.16,33.71,41.00,38.00,37.00,39.89,51.69,39.55,38.14,56.43,38.44,37.97,43.96,41.89,25.81,38.44,39.53,42.90,41.39,39.13,31.41,38.68,37.21,39.25,48.90,37.12,24.59,35.70,30.70,30.08,30.23,37.82,39.45,30.98,38.66,28.12,35.65,46.62,37.89,51.58,42.53,33.59,39.62,/,38.77,42.20,28.02,28.60,38.61,34.20,47.72,45.89,36.78,40.16,40.21,38.37,33.64,43.21,35.84,38.55,29.27,38.93,34.27,41.40,42.95,49.31,48.44,24.60,40.04,42.44,40.48,31.50,29.95,46.32,41.26,36.19,29.19,32.71,21.73,37.00,37.87,31.10
x-ne,37.10,36.00,30.23,43.57,28.05,46.35,28.54,33.30,42.11,46.58,37.77,26.10,42.80,33.68,40.99,36.65,32.16,35.00,33.63,44.60,32.88,20.08,43.46,35.62,33.63,38.57,41.66,33.17,29.53,56.45,45.80,41.25,30.58,32.85,18.37,37.26,36.48,37.49,39.11,33.63,21.14,24.37,40.19,33.93,38.28,44.83,26.17,37.41,16.73,20.39,20.17,32.98,45.76,18.77,45.84,18.03,31.44,41.38,39.91,52.76,30.33,22.03,38.55,/,33.46,39.29,19.47,21.39,25.82,27.72,39.06,38.21,39.24,36.67,36.60,41.50,31.74,31.20,44.92,42.90,20.47,33.54,31.38,38.23,41.10,31.94,38.19,26.38,33.14,41.62,47.55,32.90,19.78,33.90,49.57,43.34,18.95,26.21,19.31,39.00,38.88,26.19
