direct,af,am,ar,as,ast,az,be,bg,bn,bs,ca,ceb,cs,cy,da,de,el,en,es,et,fa,ff,fi,fr,ga,gl,gu,ha,he,hi,hr,hu,hy,id,ig,is,it,ja,jv,ka,kam,kea,kk,km,kn,ko,ku,ky,lb,lg,ln,lo,lt,luo,lv,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ns,ny,oc,om,or,pa,pl,ps,pt,ro,ru,sd,sk,sl,sn,so,sr,sv,sw,ta,te,tg,th,tl,tr,uk,umb,ur,uz,vi,wo,xh,yo,zh,zhtrad,zu
en-x,42.57,15.84,24.00,15.42,29.52,13.90,19.63,36.49,26.71,28.33,40.08,24.94,31.46,40.08,40.48,34.95,25.96,/,27.84,25.89,26.69,0.40,23.81,44.29,29.17,35.22,25.52,17.91,31.82,30.87,27.48,25.54,25.59,38.38,18.20,23.59,30.58,26.87,16.77,21.27,3.77,3.74,23.68,14.70,22.92,22.32,0.41,20.15,24.34,1.64,1.94,15.15,24.79,3.21,26.95,18.13,34.82,22.28,15.05,21.18,35.64,43.12,13.09,23.75,28.20,31.26,1.82,15.28,32.56,0.55,15.30,26.08,23.28,13.36,44.77,36.18,30.88,17.44,29.75,26.92,14.37,10.78,5.83,40.81,28.72,21.69,27.39,28.50,22.03,29.47,22.33,30.90,1.01,19.80,18.73,35.09,1.07,12.14,3.66,25.10,10.96,15.25
x-en,54.62,22.84,36.98,24.10,39.69,24.23,22.84,40.56,32.22,41.95,45.02,38.75,39.39,51.25,47.40,43.03,36.63,/,32.31,35.39,34.76,3.68,34.08,44.34,38.97,41.22,34.02,28.29,41.38,36.59,37.33,35.06,36.65,42.24,22.45,34.08,35.13,27.68,34.07,28.01,5.00,24.15,31.07,28.85,29.55,29.00,26.95,22.83,41.07,11.61,12.12,26.51,32.45,3.23,34.80,23.32,41.87,31.42,25.62,32.48,42.65,50.88,22.06,33.86,33.07,44.16,13.04,22.28,50.38,5.03,27.66,33.44,31.39,28.43,48.10,43.39,35.84,30.17,38.67,35.49,22.95,24.04,42.61,47.21,38.95,28.55,33.37,30.61,31.00,42.84,36.58,38.59,3.21,32.08,29.89,35.82,8.63,28.17,12.54,29.18,27.32,30.00
zh-x,20.63,11.00,16.19,12.54,17.76,10.12,15.08,21.60,18.65,16.56,23.81,12.25,18.45,20.38,20.49,19.86,18.19,29.18,19.44,14.36,17.89,0.37,16.45,25.88,17.10,21.27,17.80,9.24,18.84,19.94,16.42,17.73,17.45,21.22,10.36,14.49,20.47,19.02,10.61,15.70,2.14,2.27,14.65,10.07,16.69,17.32,0.34,14.79,14.21,0.92,0.97,11.32,16.27,1.02,17.32,10.93,21.02,15.63,10.79,13.11,19.12,23.61,10.88,14.44,19.14,16.25,0.94,8.27,17.39,0.32,11.02,18.36,16.81,8.25,24.93,21.43,19.95,10.37,16.88,16.47,7.55,5.63,7.27,20.37,15.23,16.13,18.48,18.52,17.77,18.31,14.93,18.76,0.52,14.23,3.86,25.86,0.68,6.37,2.27,/,25.89,7.83
x-zh,21.06,9.56,19.02,13.27,19.74,16.17,16.69,21.05,17.18,21.41,21.00,17.66,21.01,19.95,21.25,21.28,19.53,25.10,19.11,19.56,18.79,1.47,19.40,21.71,17.46,21.27,17.31,13.42,20.37,18.48,20.28,19.84,20.35,20.94,9.07,17.93,19.84,17.96,16.51,17.43,1.81,8.71,18.37,15.79,16.42,19.45,13.92,15.20,19.34,4.51,5.32,12.06,18.65,1.56,19.57,11.02,21.21,16.58,16.02,17.13,20.40,21.06,11.50,17.13,18.57,20.16,4.28,11.09,20.72,2.32,13.28,16.64,18.45,15.31,21.73,21.02,20.49,14.63,20.39,19.76,11.69,11.10,21.22,21.59,17.56,15.76,16.54,18.25,19.28,19.57,19.66,20.73,1.32,16.74,18.09,20.04,2.87,13.15,5.14,/,26.10,13.57
de-x,28.50,13.92,19.88,13.52,24.15,13.61,18.09,29.93,22.07,23.57,31.50,18.79,26.62,28.77,30.85,/,22.63,43.03,24.51,23.06,22.77,0.27,21.51,35.54,22.45,29.30,21.16,13.43,26.07,25.17,23.55,22.80,21.43,27.88,13.76,20.66,26.62,23.21,14.28,19.10,2.67,2.97,20.63,12.28,18.82,19.27,0.46,18.58,26.30,0.89,1.48,12.74,21.50,2.55,21.52,14.14,29.36,18.59,12.55,17.32,25.14,32.52,11.87,17.88,26.26,25.07,1.17,11.40,24.55,0.46,12.25,21.22,21.21,11.65,33.74,29.55,26.49,12.93,25.86,24.36,10.32,8.59,13.41,32.42,21.83,18.39,22.38,25.70,20.04,23.28,19.53,25.67,0.79,17.88,14.35,29.72,0.83,8.72,2.90,21.28,7.43,10.71
x-de,29.05,12.04,24.07,15.79,26.02,17.31,18.66,28.10,19.40,28.41,29.65,22.81,28.02,27.32,31.18,/,25.24,34.95,23.50,25.23,23.57,1.44,23.69,29.08,22.78,27.80,20.31,17.41,27.21,21.97,26.35,25.27,24.02,25.42,12.15,23.69,25.43,19.26,20.02,20.14,1.95,12.60,21.21,18.27,18.74,19.98,17.41,16.92,35.03,5.37,6.02,16.30,22.69,1.29,24.64,14.51,27.52,19.92,17.54,19.65,24.57,29.16,13.06,21.48,24.30,27.25,5.39,13.15,30.13,2.42,16.07,20.53,22.92,18.14,29.68,28.71,26.11,17.82,27.97,26.58,13.96,14.89,28.39,31.15,23.11,18.57,20.59,21.58,20.80,25.85,23.81,26.81,1.28,20.54,20.54,23.06,3.42,16.58,6.29,19.86,19.63,17.28
ar-x,24.75,12.50,/,13.01,20.46,10.42,16.60,26.37,20.58,19.69,28.21,15.73,21.97,25.99,25.00,24.07,21.52,36.98,21.39,16.85,20.60,0.15,17.79,31.51,20.70,24.98,18.84,11.23,23.71,22.33,19.66,18.74,19.99,24.57,12.21,17.04,22.98,19.39,12.60,16.88,1.87,2.03,15.95,11.74,17.28,17.21,0.35,15.76,17.48,0.60,1.09,12.44,19.05,0.78,20.22,13.06,25.22,16.95,11.28,14.11,21.93,30.01,11.02,16.52,21.46,19.33,0.96,10.18,21.07,0.37,11.00,19.32,17.85,9.01,28.97,26.42,22.78,12.27,21.44,19.79,9.37,6.84,4.53,25.03,19.70,17.27,20.04,22.94,18.67,21.63,15.08,23.03,0.49,15.40,11.27,27.84,0.64,8.10,2.28,19.02,6.30,8.91
x-ar,20.37,10.28,/,11.85,18.85,14.20,14.89,20.62,16.49,20.00,20.57,16.98,19.00,21.10,20.20,19.88,18.72,24.00,17.65,17.08,18.63,1.68,17.49,20.62,17.51,19.77,16.47,14.08,20.96,17.64,18.39,17.44,18.64,18.91,10.03,16.19,18.88,15.10,15.33,16.23,2.00,9.74,16.62,14.92,14.45,15.59,15.19,13.78,18.49,4.35,4.83,12.64,16.65,1.57,17.75,11.51,20.52,15.51,13.86,15.79,18.83,21.76,9.74,15.92,16.91,18.98,4.20,10.79,21.55,2.47,12.58,16.18,16.66,13.87,21.19,20.97,18.58,12.43,18.67,17.91,11.42,12.24,20.07,20.41,17.91,14.74,16.02,16.91,16.83,19.02,17.72,19.45,1.25,15.79,16.26,18.28,3.01,13.52,5.52,16.19,15.37,14.25
ne-x,23.53,13.41,15.92,15.90,16.48,11.26,14.24,22.62,23.63,17.39,24.74,12.10,18.81,22.99,21.63,21.48,17.92,33.86,19.03,15.18,19.72,0.49,15.93,26.89,18.25,21.08,23.47,9.75,19.77,24.02,17.13,17.23,18.37,22.30,10.30,14.84,20.04,19.35,10.00,16.93,2.38,2.41,16.76,11.36,20.25,16.23,0.34,16.46,15.09,0.77,1.08,11.78,16.56,1.85,17.93,10.33,22.73,19.34,12.25,15.40,19.18,25.64,11.70,/,19.49,16.18,0.97,8.94,15.86,0.44,14.99,24.89,16.20,10.90,26.36,21.78,19.01,15.23,17.49,18.09,7.16,6.00,6.49,22.27,17.03,19.50,23.35,20.44,16.53,19.87,15.31,18.90,0.66,18.93,8.11,25.63,0.71,6.24,2.23,17.13,4.98,7.49
x-ne,18.50,9.96,16.52,14.91,16.44,12.58,12.63,18.42,19.40,17.23,18.18,15.33,17.65,17.64,18.79,17.88,15.86,23.75,15.41,16.53,17.47,1.60,15.81,19.17,15.09,17.31,19.73,11.06,17.90,19.93,16.94,16.88,15.33,18.53,7.32,14.21,17.12,14.43,13.74,13.76,1.57,6.08,16.03,10.70,16.36,15.09,11.42,12.61,15.81,3.08,3.30,8.68,15.29,1.61,15.19,8.20,18.54,16.07,12.95,17.91,17.95,18.41,8.73,/,15.66,17.09,3.55,8.01,17.48,1.67,17.24,18.58,14.55,13.78,19.35,18.35,16.66,16.80,16.87,16.50,8.30,8.37,18.15,18.69,16.36,14.93,18.09,14.28,13.40,18.09,17.48,17.30,1.15,18.45,14.98,16.09,2.50,10.49,4.03,14.44,13.80,10.21
