direct,low,high,all
en-x,19.19,33.68,22.77
x-en,28.92,40.77,31.85
zh-x,12.45,20.15,14.43
x-zh,14.98,20.72,16.46
de-x,16.00,27.93,18.95
x-de,18.40,27.45,20.64
ar-x,13.87,23.77,16.42
x-ar,14.08,19.42,15.45
ne-x,13.41,20.83,15.32
x-ne,12.93,17.70,14.16
az-x,10.86,16.89,12.41
x-az,8.09,12.85,9.32
ceb-x,13.48,22.71,15.85
x-ceb,10.71,18.29,12.66
