direct,low,high,all
en-x,46.32,77.88,54.13
x-en,62.81,84.04,68.06
zh-x,48.27,75.31,55.23
x-zh,51.39,76.35,57.81
de-x,50.00,76.19,56.48
x-de,47.59,72.77,53.82
ar-x,45.10,61.97,49.45
x-ar,42.34,58.92,46.61
ne-x,44.18,58.55,47.88
x-ne,39.05,46.45,40.95
az-x,49.93,62.08,53.06
x-az,44.90,61.99,49.29
ceb-x,35.18,41.28,36.75
x-ceb,44.01,49.79,45.50
