direct,low,high,all
en-x,48.72,77.88,57.20
x-en,65.23,84.04,70.70
zh-x,50.38,75.31,57.92
x-zh,53.87,76.35,60.66
de-x,53.13,76.19,59.83
x-de,50.33,72.77,56.85
ar-x,47.41,61.97,51.81
x-ar,44.93,58.92,49.16
ne-x,46.15,58.55,49.90
x-ne,41.56,46.45,43.04
az-x,52.30,62.08,55.26
x-az,47.61,61.99,51.95
ceb-x,35.16,41.28,37.01
x-ceb,44.48,49.79,46.08
