direct,low,high,all
en-x,0.14,0.51,0.25
x-en,0.59,1.23,0.78
zh-x,0.14,0.46,0.24
x-zh,0.22,0.13,0.19
de-x,0.06,0.21,0.10
x-de,0.23,0.30,0.25
ar-x,0.05,0.29,0.12
x-ar,0.07,0.03,0.06
ne-x,0.24,0.16,0.22
x-ne,0.21,0.04,0.16
az-x,0.15,0.22,0.17
x-az,0.09,0.05,0.07
ceb-x,0.13,0.26,0.17
x-ceb,0.21,0.12,0.18
