direct,low,high,all
en-x,0.15,0.51,0.24
x-en,0.59,1.23,0.75
zh-x,0.17,0.46,0.25
x-zh,0.25,0.13,0.22
de-x,0.07,0.21,0.10
x-de,0.24,0.30,0.25
ar-x,0.05,0.29,0.11
x-ar,0.07,0.03,0.06
ne-x,0.23,0.16,0.21
x-ne,0.19,0.04,0.15
az-x,0.15,0.22,0.17
x-az,0.09,0.05,0.08
ceb-x,0.14,0.26,0.17
x-ceb,0.23,0.12,0.20
