direct,low,high,all
en-x,21.06,33.97,24.81
x-en,28.90,40.97,32.41
zh-x,13.16,19.51,15.08
x-zh,12.82,17.56,14.25
de-x,17.09,28.17,20.31
x-de,17.87,27.02,20.53
ar-x,14.51,22.51,16.92
x-ar,14.46,19.98,16.13
ne-x,13.70,19.73,15.52
x-ne,14.84,19.69,16.31
az-x,10.88,15.04,12.14
x-az,9.73,13.63,10.91
ceb-x,14.20,22.11,16.59
x-ceb,15.06,21.70,17.07
ja-x,12.18,18.02,13.94
x-ja,14.50,19.77,16.09
