direct,low,high,all
en-x,19.62,33.97,23.17
x-en,27.22,40.97,30.63
zh-x,12.32,19.51,14.17
x-zh,12.14,17.56,13.53
de-x,15.93,28.17,18.96
x-de,16.71,27.02,19.26
ar-x,13.50,22.51,15.82
x-ar,13.71,19.98,15.32
ne-x,12.68,19.73,14.49
x-ne,14.01,19.69,15.47
az-x,10.06,15.04,11.34
x-az,9.10,13.63,10.27
ceb-x,13.25,22.11,15.53
x-ceb,14.17,21.70,16.11
ja-x,11.34,18.02,13.06
x-ja,13.84,19.77,15.37
