direct,low,high,all
en-x,2.82,23.07,7.83
x-en,11.80,37.21,18.09
zh-x,1.65,11.46,4.18
x-zh,1.28,4.25,2.05
de-x,2.06,21.09,6.77
x-de,4.58,20.75,8.59
ar-x,0.84,10.63,3.36
x-ar,0.74,3.39,1.42
ne-x,0.49,2.83,1.09
x-ne,0.71,1.06,0.80
az-x,0.70,3.60,1.44
x-az,0.59,1.04,0.71
ceb-x,1.14,6.15,2.43
x-ceb,1.05,1.98,1.29
