direct,low,high,all
en-x,3.13,23.07,8.93
x-en,12.89,37.21,19.96
zh-x,1.59,11.46,4.57
x-zh,1.18,4.25,2.10
de-x,2.34,21.09,7.79
x-de,5.36,20.75,9.83
ar-x,1.00,10.63,3.91
x-ar,0.82,3.39,1.59
ne-x,0.56,2.83,1.25
x-ne,0.72,1.06,0.82
az-x,0.76,3.60,1.62
x-az,0.59,1.04,0.73
ceb-x,1.14,6.15,2.65
x-ceb,1.00,1.98,1.29
