direct,low,high,all
en-x,52.57,82.64,61.31
x-en,60.79,87.26,68.48
zh-x,54.10,76.18,60.77
x-zh,58.82,83.18,66.19
de-x,54.25,79.63,61.63
x-de,55.65,83.18,63.65
ar-x,46.59,67.78,52.99
x-ar,42.19,55.43,46.19
ne-x,48.23,63.69,52.90
x-ne,38.01,46.22,40.49
az-x,46.01,57.61,49.51
x-az,44.44,60.82,49.39
ceb-x,38.20,53.18,42.73
x-ceb,46.55,50.34,47.70
