direct,low,high,all
en-x,50.81,82.64,58.69
x-en,58.17,87.26,65.37
zh-x,51.36,76.18,57.75
x-zh,57.70,83.18,64.26
de-x,51.29,79.63,58.31
x-de,53.34,83.18,60.73
ar-x,44.86,67.78,50.76
x-ar,41.01,55.43,44.72
ne-x,47.16,63.69,51.42
x-ne,36.23,46.22,38.80
az-x,44.68,57.61,48.01
x-az,42.44,60.82,47.17
ceb-x,37.71,53.18,41.69
x-ceb,46.04,50.34,47.15
