direct,low,high,all
en-x,29.63,36.66,31.37
x-en,37.21,41.42,38.25
zh-x,33.89,37.85,34.91
x-zh,36.60,38.37,37.06
de-x,29.96,35.04,31.22
x-de,31.05,33.79,31.73
ar-x,31.68,34.24,32.34
x-ar,33.99,32.78,33.68
ne-x,35.48,34.88,35.32
x-ne,31.15,27.19,30.13
az-x,35.61,37.24,36.03
x-az,33.74,32.67,33.47
ceb-x,31.02,30.31,30.84
x-ceb,38.16,35.56,37.49
