direct,low,high,all
en-x,4.06,26.78,10.66
x-en,12.17,42.23,20.91
zh-x,1.21,12.59,4.65
x-zh,6.80,21.33,11.19
de-x,2.64,19.88,7.65
x-de,8.36,28.40,14.19
ar-x,1.17,9.90,3.81
x-ar,0.32,0.63,0.41
ne-x,1.14,4.93,2.28
x-ne,0.65,0.60,0.63
az-x,1.00,4.16,1.96
x-az,0.62,0.99,0.73
ceb-x,1.87,7.70,3.63
x-ceb,1.94,3.17,2.31
