direct,low,high,all
en-x,3.70,26.78,9.41
x-en,11.18,42.23,18.87
zh-x,1.23,12.59,4.15
x-zh,6.57,21.33,10.37
de-x,2.48,19.88,6.79
x-de,7.69,28.40,12.81
ar-x,1.08,9.90,3.35
x-ar,0.31,0.63,0.39
ne-x,1.08,4.93,2.07
x-ne,0.63,0.60,0.62
az-x,0.97,4.16,1.79
x-az,0.61,0.99,0.71
ceb-x,1.85,7.70,3.36
x-ceb,1.92,3.17,2.24
