direct,low,high,all
en-x,45.65,78.35,55.16
x-en,60.29,84.70,67.39
zh-x,44.88,74.27,53.77
x-zh,43.50,60.77,48.72
de-x,43.37,79.62,53.91
x-de,47.23,75.09,55.33
ar-x,39.54,64.04,46.95
x-ar,40.24,53.99,44.40
ne-x,39.11,50.33,42.50
x-ne,35.15,38.63,36.20
az-x,47.05,57.84,50.31
x-az,40.65,46.53,42.43
ceb-x,35.16,45.85,38.39
x-ceb,42.35,45.84,43.40
