direct,low,high,all
en-x,43.23,78.35,51.93
x-en,57.86,84.70,64.50
zh-x,43.40,74.27,51.34
x-zh,41.86,60.77,46.73
de-x,41.53,79.62,50.96
x-de,44.77,75.09,52.27
ar-x,38.17,64.04,44.83
x-ar,39.07,53.99,42.91
ne-x,38.19,50.33,41.31
x-ne,33.58,38.63,34.88
az-x,45.26,57.84,48.50
x-az,38.78,46.53,40.78
ceb-x,35.17,45.85,37.92
x-ceb,42.29,45.84,43.21
